"Payment_Type","Payment_Installments","Payment_id"
"boleto",1,218
"boleto",1,219
"credit_card",10,220
"credit_card",1,221
"credit_card",10,222
"debit_card",1,223
"credit_card",2,224
"credit_card",4,225
"boleto",1,226
"credit_card",3,227
"boleto",1,228
"credit_card",1,229
"credit_card",10,230
"boleto",1,231
"boleto",1,232
"credit_card",4,233
"debit_card",1,234
"debit_card",1,235
"credit_card",2,236
"credit_card",1,237
"credit_card",1,238
"debit_card",1,239
"boleto",1,240
"credit_card",10,241
"credit_card",1,242
"boleto",1,243
"credit_card",4,244
"credit_card",1,245
"credit_card",1,246
"credit_card",1,247
"credit_card",9,248
"credit_card",2,249
"credit_card",3,250
"credit_card",3,251
"credit_card",5,252
"credit_card",1,253
"credit_card",2,254
"credit_card",4,255
"credit_card",10,256
"boleto",1,257
"credit_card",2,258
"credit_card",13,259
"credit_card",3,260
"credit_card",3,261
"credit_card",4,262
"credit_card",5,263
"credit_card",1,264
"credit_card",1,265
"credit_card",2,266
"credit_card",1,267
"credit_card",2,268
"credit_card",1,269
"credit_card",10,270
"credit_card",3,271
"credit_card",2,272
"credit_card",5,273
"debit_card",1,274
"boleto",1,275
"credit_card",6,276
"credit_card",2,277
"credit_card",5,278
"boleto",1,279
"credit_card",1,280
"credit_card",8,281
"credit_card",5,282
"credit_card",1,283
"credit_card",1,284
"credit_card",3,285
"boleto",1,286
"credit_card",2,287
"credit_card",4,288
"credit_card",3,289
"credit_card",5,290
"credit_card",1,291
"credit_card",1,292
"boleto",1,293
"credit_card",1,294
"boleto",1,295
"boleto",1,296
"credit_card",1,297
"boleto",1,298
"credit_card",5,299
"credit_card",5,300
"credit_card",2,301
"credit_card",1,302
"boleto",1,303
"boleto",1,304
"boleto",1,305
"credit_card",10,306
"credit_card",3,307
"credit_card",1,308
"credit_card",1,309
"credit_card",3,310
"credit_card",10,311
"credit_card",2,312
"credit_card",4,313
"boleto",1,314
"credit_card",3,315
"credit_card",1,316
"credit_card",3,317
"credit_card",8,318
"credit_card",1,319
"credit_card",5,320
"credit_card",1,321
"credit_card",5,322
"credit_card",1,323
"credit_card",4,324
"boleto",1,325
"credit_card",4,326
"credit_card",2,327
"credit_card",1,328
"boleto",1,329
"boleto",1,330
"credit_card",3,331
"boleto",1,332
"boleto",1,333
"boleto",1,334
"credit_card",10,335
"credit_card",3,336
"credit_card",10,337
"credit_card",4,338
"boleto",1,339
"credit_card",1,340
"credit_card",1,341
"boleto",1,342
"credit_card",1,343
"credit_card",7,344
"credit_card",10,345
"boleto",1,346
"credit_card",5,347
"credit_card",10,348
"credit_card",8,349
"boleto",1,350
"credit_card",8,351
"credit_card",2,352
"credit_card",5,353
"credit_card",2,354
"boleto",1,355
"boleto",1,356
"debit_card",1,357
"credit_card",1,358
"credit_card",10,359
"credit_card",1,360
"credit_card",2,361
"credit_card",1,362
"credit_card",1,363
"credit_card",2,364
"credit_card",1,365
"credit_card",5,366
"credit_card",6,367
"credit_card",6,368
"credit_card",4,369
"credit_card",6,370
"credit_card",3,371
"boleto",1,372
"credit_card",1,373
"credit_card",5,374
"credit_card",7,375
"credit_card",5,376
"credit_card",1,377
"boleto",1,378
"credit_card",2,379
"credit_card",1,380
"boleto",1,381
"credit_card",3,382
"credit_card",2,383
"credit_card",6,384
"boleto",1,385
"credit_card",1,386
"boleto",1,387
"credit_card",8,388
"boleto",1,389
"credit_card",4,390
"credit_card",10,391
"credit_card",10,392
"credit_card",2,393
"credit_card",1,394
"boleto",1,395
"credit_card",10,396
"credit_card",3,397
"credit_card",10,398
"boleto",1,399
"credit_card",4,400
"credit_card",1,401
"boleto",1,402
"credit_card",2,403
"credit_card",3,404
"credit_card",1,405
"credit_card",1,406
"credit_card",10,407
"credit_card",3,408
"boleto",1,409
"credit_card",1,410
"credit_card",5,411
"credit_card",5,412
"credit_card",10,413
"credit_card",1,414
"credit_card",4,415
"boleto",1,416
"credit_card",1,417
"credit_card",4,418
"credit_card",8,419
"credit_card",5,420
"credit_card",2,421
"credit_card",2,422
"credit_card",1,423
"credit_card",1,424
"credit_card",1,425
"credit_card",2,426
"credit_card",1,427
"credit_card",7,428
"credit_card",2,429
"credit_card",4,430
"boleto",1,431
"credit_card",4,432
"boleto",1,433
"credit_card",4,434
"credit_card",8,435
"boleto",1,436
"credit_card",5,437
"credit_card",1,438
"credit_card",1,439
"credit_card",3,440
"boleto",1,441
"credit_card",5,442
"credit_card",1,443
"credit_card",4,444
"boleto",1,445
"boleto",1,446
"credit_card",2,447
"credit_card",4,448
"debit_card",1,449
"credit_card",5,450
"credit_card",2,451
"credit_card",3,452
"credit_card",5,453
"credit_card",2,454
"credit_card",4,455
"credit_card",5,456
"credit_card",1,457
"credit_card",6,458
"credit_card",2,459
"credit_card",8,460
"credit_card",1,461
"credit_card",8,462
"credit_card",6,463
"boleto",1,464
"credit_card",12,465
"credit_card",7,466
"credit_card",5,467
"credit_card",2,468
"credit_card",1,469
"boleto",1,470
"credit_card",3,471
"credit_card",1,472
"credit_card",10,473
"boleto",1,474
"boleto",1,475
"credit_card",6,476
"credit_card",3,477
"credit_card",2,478
"credit_card",1,479
"credit_card",1,480
"credit_card",4,481
"credit_card",1,482
"credit_card",3,483
"boleto",1,484
"boleto",1,485
"credit_card",5,486
"credit_card",5,487
"credit_card",4,488
"boleto",1,489
"credit_card",4,490
"credit_card",1,491
"credit_card",10,492
"boleto",1,493
"credit_card",4,494
"credit_card",1,495
"credit_card",2,496
"credit_card",5,497
"credit_card",7,498
"credit_card",2,499
"credit_card",2,500
"credit_card",7,501
"credit_card",2,502
"credit_card",2,503
"credit_card",2,504
"credit_card",8,505
"credit_card",4,506
"debit_card",1,507
"credit_card",5,508
"credit_card",3,509
"credit_card",5,510
"debit_card",1,511
"boleto",1,512
"credit_card",4,513
"boleto",1,514
"credit_card",2,515
"credit_card",3,516
"debit_card",1,517
"credit_card",2,518
"credit_card",10,519
"credit_card",3,520
"credit_card",5,521
"credit_card",1,522
"credit_card",1,523
"credit_card",7,524
"credit_card",3,525
"credit_card",3,526
"credit_card",4,527
"credit_card",2,528
"credit_card",1,529
"boleto",1,530
"credit_card",1,531
"credit_card",3,532
"boleto",1,533
"boleto",1,534
"credit_card",2,535
"credit_card",3,536
"credit_card",9,537
"credit_card",4,538
"credit_card",8,539
"credit_card",3,540
"credit_card",2,541
"credit_card",1,542
"credit_card",3,543
"credit_card",4,544
"boleto",1,545
"credit_card",4,546
"credit_card",3,547
"credit_card",1,548
"credit_card",1,549
"credit_card",7,550
"credit_card",1,551
"credit_card",1,552
"boleto",1,553
"credit_card",1,554
"debit_card",1,555
"credit_card",4,556
"credit_card",8,557
"credit_card",1,558
"credit_card",3,559
"credit_card",4,560
"credit_card",8,561
"credit_card",2,562
"boleto",1,563
"boleto",1,564
"credit_card",10,565
"credit_card",1,566
"credit_card",1,567
"boleto",1,568
"credit_card",2,569
"credit_card",1,570
"credit_card",1,571
"boleto",1,572
"credit_card",1,573
"credit_card",1,574
"boleto",1,575
"boleto",1,576
"boleto",1,577
"credit_card",1,578
"boleto",1,579
"credit_card",1,580
"credit_card",2,581
"credit_card",10,582
"credit_card",5,583
"debit_card",1,584
"credit_card",3,585
"credit_card",1,586
"credit_card",2,587
"boleto",1,588
"boleto",1,589
"credit_card",2,590
"credit_card",6,591
"credit_card",8,592
"debit_card",1,593
"credit_card",1,594
"credit_card",1,595
"credit_card",1,596
"credit_card",1,597
"credit_card",3,598
"boleto",1,599
"credit_card",4,600
"credit_card",8,601
"boleto",1,602
"credit_card",3,603
"boleto",1,604
"credit_card",1,605
"credit_card",1,606
"credit_card",6,607
"credit_card",2,608
"credit_card",1,609
"credit_card",3,610
"credit_card",10,611
"boleto",1,612
"credit_card",5,613
"credit_card",8,614
"credit_card",2,615
"credit_card",1,616
"credit_card",1,617
"credit_card",8,618
"credit_card",4,619
"credit_card",4,620
"credit_card",3,621
"boleto",1,622
"credit_card",1,623
"credit_card",1,624
"credit_card",1,625
"credit_card",10,626
"credit_card",2,627
"boleto",1,628
"credit_card",2,629
"credit_card",6,630
"credit_card",4,631
"credit_card",3,632
"boleto",1,633
"credit_card",2,634
"credit_card",3,635
"credit_card",2,636
"credit_card",4,637
"credit_card",8,638
"boleto",1,639
"credit_card",3,640
"credit_card",10,641
"credit_card",1,642
"boleto",1,643
"credit_card",4,644
"credit_card",4,645
"boleto",1,646
"boleto",1,647
"credit_card",1,648
"credit_card",4,649
"boleto",1,650
"credit_card",1,651
"boleto",1,652
"boleto",1,653
"credit_card",1,654
"credit_card",3,655
"credit_card",7,656
"credit_card",4,657
"credit_card",2,658
"credit_card",3,659
"credit_card",3,660
"credit_card",3,661
"credit_card",10,662
"boleto",1,663
"credit_card",10,664
"credit_card",1,665
"credit_card",6,666
"credit_card",1,667
"credit_card",3,668
"debit_card",1,669
"credit_card",2,670
"boleto",1,671
"credit_card",1,672
"credit_card",2,673
"credit_card",8,674
"boleto",1,675
"boleto",1,676
"credit_card",5,677
"credit_card",8,678
"credit_card",3,679
"credit_card",4,680
"credit_card",3,681
"credit_card",3,682
"debit_card",1,683
"credit_card",2,684
"credit_card",1,685
"credit_card",2,686
"credit_card",1,687
"boleto",1,688
"boleto",1,689
"credit_card",1,690
"credit_card",1,691
"credit_card",2,692
"credit_card",1,693
"credit_card",2,694
"credit_card",3,695
"credit_card",3,696
"credit_card",2,697
"credit_card",4,698
"credit_card",2,699
"credit_card",1,700
"credit_card",3,701
"debit_card",1,702
"credit_card",2,703
"credit_card",5,704
"boleto",1,705
"credit_card",5,706
"credit_card",1,707
"credit_card",1,708
"credit_card",1,709
"credit_card",1,710
"credit_card",2,711
"credit_card",3,712
"credit_card",4,713
"credit_card",8,714
"credit_card",1,715
"credit_card",1,716
"credit_card",5,717
"credit_card",6,718
"credit_card",10,719
"boleto",1,720
"credit_card",10,721
"boleto",1,722
"credit_card",2,723
"credit_card",1,724
"boleto",1,725
"credit_card",10,726
"credit_card",4,727
"credit_card",2,728
"boleto",1,729
"boleto",1,730
"boleto",1,731
"credit_card",1,732
"credit_card",5,733
"credit_card",1,734
"boleto",1,735
"credit_card",7,736
"credit_card",6,737
"credit_card",6,738
"credit_card",10,739
"credit_card",1,740
"credit_card",1,741
"credit_card",1,742
"credit_card",1,743
"credit_card",4,744
"credit_card",1,745
"credit_card",1,746
"credit_card",2,747
"boleto",1,748
"credit_card",2,749
"credit_card",1,750
"credit_card",1,751
"credit_card",1,752
"credit_card",1,753
"credit_card",1,754
"credit_card",8,755
"credit_card",6,756
"credit_card",2,757
"credit_card",1,758
"credit_card",2,759
"credit_card",1,760
"credit_card",1,761
"credit_card",6,762
"credit_card",1,763
"credit_card",10,764
"credit_card",10,765
"credit_card",3,766
"credit_card",1,767
"credit_card",3,768
"credit_card",1,769
"credit_card",10,770
"credit_card",2,771
"credit_card",1,772
"credit_card",2,773
"credit_card",7,774
"credit_card",4,775
"credit_card",2,776
"credit_card",2,777
"credit_card",1,778
"credit_card",2,779
"credit_card",1,780
"credit_card",3,781
"credit_card",1,782
"boleto",1,783
"credit_card",5,784
"credit_card",3,785
"credit_card",1,786
"credit_card",1,787
"boleto",1,788
"boleto",1,789
"credit_card",10,790
"credit_card",4,791
"credit_card",7,792
"boleto",1,793
"boleto",1,794
"credit_card",1,795
"credit_card",1,796
"credit_card",5,797
"credit_card",4,798
"boleto",1,799
"boleto",1,800
"boleto",1,801
"credit_card",2,802
"credit_card",1,803
"boleto",1,804
"credit_card",2,805
"credit_card",2,806
"boleto",1,807
"boleto",1,808
"boleto",1,809
"credit_card",1,810
"credit_card",2,811
"credit_card",10,812
"credit_card",4,813
"credit_card",3,814
"credit_card",1,815
"credit_card",3,816
"credit_card",1,817
"credit_card",2,818
"credit_card",7,819
"credit_card",1,820
"credit_card",1,821
"boleto",1,822
"credit_card",1,823
"credit_card",1,824
"boleto",1,825
"credit_card",1,826
"credit_card",1,827
"credit_card",4,828
"boleto",1,829
"credit_card",1,830
"credit_card",4,831
"credit_card",1,832
"credit_card",4,833
"boleto",1,834
"credit_card",4,835
"boleto",1,836
"credit_card",7,837
"credit_card",1,838
"credit_card",3,839
"boleto",1,840
"credit_card",3,841
"boleto",1,842
"credit_card",3,843
"credit_card",7,844
"credit_card",2,845
"credit_card",1,846
"credit_card",3,847
"debit_card",1,848
"boleto",1,849
"boleto",1,850
"boleto",1,851
"boleto",1,852
"credit_card",6,853
"credit_card",6,854
"boleto",1,855
"credit_card",2,856
"credit_card",4,857
"credit_card",3,858
"credit_card",2,859
"credit_card",1,860
"boleto",1,861
"boleto",1,862
"credit_card",1,863
"boleto",1,864
"credit_card",8,865
"credit_card",3,866
"boleto",1,867
"credit_card",2,868
"boleto",1,869
"credit_card",1,870
"boleto",1,871
"credit_card",5,872
"boleto",1,873
"boleto",1,874
"credit_card",2,875
"credit_card",1,876
"credit_card",3,877
"credit_card",1,878
"boleto",1,879
"credit_card",1,880
"credit_card",7,881
"credit_card",1,882
"boleto",1,883
"boleto",1,884
"credit_card",3,885
"credit_card",3,886
"credit_card",3,887
"credit_card",8,888
"credit_card",1,889
"credit_card",4,890
"credit_card",1,891
"boleto",1,892
"boleto",1,893
"boleto",1,894
"credit_card",2,895
"boleto",1,896
"credit_card",10,897
"boleto",1,898
"credit_card",2,899
"credit_card",5,900
"credit_card",2,901
"boleto",1,902
"credit_card",3,903
"credit_card",2,904
"credit_card",2,905
"credit_card",1,906
"boleto",1,907
"credit_card",1,908
"credit_card",6,909
"credit_card",2,910
"credit_card",1,911
"credit_card",2,912
"credit_card",1,913
"debit_card",1,914
"boleto",1,915
"credit_card",2,916
"boleto",1,917
"credit_card",4,918
"credit_card",2,919
"credit_card",1,920
"credit_card",6,921
"credit_card",1,922
"boleto",1,923
"debit_card",1,924
"credit_card",8,925
"credit_card",1,926
"debit_card",1,927
"credit_card",6,928
"credit_card",1,929
"credit_card",1,930
"boleto",1,931
"boleto",1,932
"credit_card",1,933
"credit_card",1,934
"boleto",1,935
"credit_card",3,936
"credit_card",8,937
"credit_card",5,938
"credit_card",2,939
"credit_card",4,940
"credit_card",5,941
"credit_card",2,942
"credit_card",3,943
"boleto",1,944
"credit_card",1,945
"credit_card",4,946
"boleto",1,947
"credit_card",2,948
"credit_card",2,949
"boleto",1,950
"credit_card",2,951
"boleto",1,952
"credit_card",2,953
"boleto",1,954
"credit_card",1,955
"credit_card",1,956
"credit_card",1,957
"credit_card",6,958
"boleto",1,959
"credit_card",8,960
"credit_card",6,961
"credit_card",10,962
"credit_card",3,963
"credit_card",2,964
"debit_card",1,965
"credit_card",2,966
"credit_card",1,967
"credit_card",4,968
"credit_card",1,969
"credit_card",1,970
"credit_card",2,971
"boleto",1,972
"debit_card",1,973
"boleto",1,974
"credit_card",5,975
"credit_card",1,976
"credit_card",2,977
"credit_card",3,978
"boleto",1,979
"credit_card",4,980
"credit_card",1,981
"credit_card",1,982
"boleto",1,983
"boleto",1,984
"boleto",1,985
"boleto",1,986
"credit_card",2,987
"credit_card",10,988
"boleto",1,989
"credit_card",5,990
"credit_card",6,991
"credit_card",4,992
"credit_card",4,993
"boleto",1,994
"credit_card",1,995
"credit_card",6,996
"credit_card",2,997
"credit_card",10,998
"boleto",1,999
"boleto",1,1000
"credit_card",1,1001
"credit_card",2,1002
"credit_card",2,1003
"credit_card",1,1004
"credit_card",2,1005
"debit_card",1,1006
"credit_card",1,1007
"credit_card",3,1008
"credit_card",2,1009
"credit_card",1,1010
"credit_card",6,1011
"credit_card",1,1012
"credit_card",10,1013
"credit_card",1,1014
"credit_card",2,1015
"boleto",1,1016
"credit_card",1,1017
"credit_card",3,1018
"credit_card",10,1019
"credit_card",7,1020
"credit_card",5,1021
"credit_card",3,1022
"credit_card",3,1023
"credit_card",2,1024
"credit_card",6,1025
"credit_card",1,1026
"boleto",1,1027
"credit_card",2,1028
"credit_card",1,1029
"boleto",1,1030
"credit_card",2,1031
"credit_card",1,1032
"credit_card",1,1033
"credit_card",10,1034
"credit_card",8,1035
"credit_card",3,1036
"credit_card",2,1037
"credit_card",1,1038
"credit_card",3,1039
"credit_card",4,1040
"credit_card",3,1041
"credit_card",4,1042
"credit_card",1,1043
"credit_card",1,1044
"credit_card",1,1045
"credit_card",1,1046
"credit_card",1,1047
"boleto",1,1048
"credit_card",10,1049
"credit_card",2,1050
"credit_card",6,1051
"boleto",1,1052
"credit_card",8,1053
"boleto",1,1054
"credit_card",3,1055
"debit_card",1,1056
"boleto",1,1057
"credit_card",1,1058
"credit_card",1,1059
"credit_card",2,1060
"credit_card",1,1061
"boleto",1,1062
"debit_card",1,1063
"credit_card",2,1064
"boleto",1,1065
"credit_card",1,1066
"credit_card",1,1067
"credit_card",3,1068
"credit_card",1,1069
"credit_card",2,1070
"credit_card",1,1071
"credit_card",3,1072
"credit_card",5,1073
"credit_card",3,1074
"credit_card",1,1075
"credit_card",3,1076
"credit_card",1,1077
"credit_card",3,1078
"boleto",1,1079
"boleto",1,1080
"credit_card",1,1081
"credit_card",8,1082
"credit_card",4,1083
"credit_card",4,1084
"credit_card",9,1085
"credit_card",1,1086
"credit_card",4,1087
"credit_card",2,1088
"credit_card",4,1089
"credit_card",3,1090
"credit_card",1,1091
"boleto",1,1092
"credit_card",1,1093
"credit_card",10,1094
"credit_card",1,1095
"boleto",1,1096
"credit_card",6,1097
"credit_card",1,1098
"credit_card",1,1099
"boleto",1,1100
"boleto",1,1101
"boleto",1,1102
"credit_card",1,1103
"credit_card",10,1104
"boleto",1,1105
"credit_card",3,1106
"credit_card",4,1107
"boleto",1,1108
"credit_card",6,1109
"credit_card",10,1110
"credit_card",1,1111
"credit_card",1,1112
"credit_card",3,1113
"boleto",1,1114
"credit_card",8,1115
"credit_card",1,1116
"credit_card",5,1117
"boleto",1,1118
"credit_card",1,1119
"boleto",1,1120
"credit_card",1,1121
"credit_card",4,1122
"credit_card",1,1123
"credit_card",2,1124
"credit_card",5,1125
"credit_card",3,1126
"credit_card",2,1127
"credit_card",1,1128
"credit_card",1,1129
"credit_card",3,1130
"credit_card",2,1131
"credit_card",3,1132
"credit_card",8,1133
"credit_card",1,1134
"credit_card",4,1135
"credit_card",6,1136
"credit_card",10,1137
"boleto",1,1138
"credit_card",8,1139
"credit_card",8,1140
"credit_card",10,1141
"credit_card",2,1142
"credit_card",6,1143
"credit_card",1,1144
"credit_card",3,1145
"credit_card",10,1146
"credit_card",10,1147
"credit_card",2,1148
"credit_card",1,1149
"credit_card",5,1150
"credit_card",1,1151
"credit_card",1,1152
"credit_card",3,1153
"credit_card",2,1154
"credit_card",3,1155
"credit_card",1,1156
"boleto",1,1157
"credit_card",1,1158
"credit_card",4,1159
"credit_card",1,1160
"credit_card",10,1161
"credit_card",7,1162
"boleto",1,1163
"credit_card",1,1164
"credit_card",1,1165
"credit_card",2,1166
"credit_card",2,1167
"credit_card",1,1168
"credit_card",6,1169
"credit_card",2,1170
"credit_card",5,1171
"debit_card",1,1172
"credit_card",8,1173
"credit_card",9,1174
"boleto",1,1175
"credit_card",2,1176
"credit_card",1,1177
"credit_card",5,1178
"credit_card",10,1179
"credit_card",8,1180
"credit_card",2,1181
"debit_card",1,1182
"credit_card",4,1183
"credit_card",2,1184
"credit_card",3,1185
"boleto",1,1186
"credit_card",3,1187
"credit_card",2,1188
"credit_card",1,1189
"credit_card",1,1190
"credit_card",1,1191
"credit_card",1,1192
"credit_card",7,1193
"credit_card",1,1194
"boleto",1,1195
"credit_card",2,1196
"credit_card",10,1197
"credit_card",1,1198
"credit_card",4,1199
"credit_card",1,1200
"credit_card",5,1201
"credit_card",6,1202
"credit_card",2,1203
"credit_card",4,1204
"credit_card",10,1205
"credit_card",1,1206
"boleto",1,1207
"credit_card",1,1208
"boleto",1,1209
"credit_card",8,1210
"credit_card",8,1211
"credit_card",1,1212
"credit_card",1,1213
"credit_card",6,1214
"credit_card",7,1215
"boleto",1,1216
"credit_card",1,1217
"credit_card",1,1218
"credit_card",1,1219
"boleto",1,1220
"credit_card",2,1221
"credit_card",1,1222
"boleto",1,1223
"credit_card",10,1224
"boleto",1,1225
"credit_card",1,1226
"credit_card",5,1227
"credit_card",1,1228
"credit_card",6,1229
"credit_card",1,1230
"credit_card",6,1231
"credit_card",1,1232
"credit_card",3,1233
"credit_card",1,1234
"credit_card",1,1235
"credit_card",2,1236
"credit_card",7,1237
"credit_card",3,1238
"credit_card",1,1239
"credit_card",5,1240
"boleto",1,1241
"boleto",1,1242
"credit_card",6,1243
"credit_card",2,1244
"boleto",1,1245
"boleto",1,1246
"credit_card",3,1247
"credit_card",10,1248
"credit_card",1,1249
"credit_card",1,1250
"credit_card",10,1251
"credit_card",8,1252
"credit_card",5,1253
"credit_card",1,1254
"boleto",1,1255
"credit_card",4,1256
"credit_card",1,1257
"credit_card",2,1258
"credit_card",2,1259
"credit_card",3,1260
"credit_card",2,1261
"credit_card",8,1262
"boleto",1,1263
"credit_card",3,1264
"credit_card",1,1265
"credit_card",1,1266
"credit_card",5,1267
"boleto",1,1268
"credit_card",1,1269
"credit_card",7,1270
"credit_card",5,1271
"credit_card",1,1272
"credit_card",8,1273
"credit_card",10,1274
"credit_card",8,1275
"credit_card",1,1276
"credit_card",1,1277
"credit_card",1,1278
"debit_card",1,1279
"boleto",1,1280
"credit_card",1,1281
"boleto",1,1282
"boleto",1,1283
"boleto",1,1284
"credit_card",3,1285
"credit_card",1,1286
"credit_card",1,1287
"boleto",1,1288
"credit_card",5,1289
"boleto",1,1290
"credit_card",7,1291
"credit_card",3,1292
"credit_card",1,1293
"credit_card",5,1294
"boleto",1,1295
"credit_card",2,1296
"credit_card",6,1297
"credit_card",5,1298
"boleto",1,1299
"credit_card",10,1300
"credit_card",2,1301
"boleto",1,1302
"credit_card",1,1303
"credit_card",5,1304
"credit_card",10,1305
"credit_card",8,1306
"boleto",1,1307
"credit_card",12,1308
"credit_card",6,1309
"credit_card",1,1310
"credit_card",8,1311
"credit_card",4,1312
"credit_card",2,1313
"credit_card",4,1314
"credit_card",1,1315
"credit_card",3,1316
"credit_card",2,1317
"credit_card",3,1318
"credit_card",3,1319
"boleto",1,1320
"boleto",1,1321
"credit_card",6,1322
"credit_card",7,1323
"boleto",1,1324
"credit_card",10,1325
"credit_card",4,1326
"credit_card",1,1327
"credit_card",8,1328
"credit_card",10,1329
"credit_card",8,1330
"boleto",1,1331
"boleto",1,1332
"credit_card",1,1333
"credit_card",4,1334
"credit_card",1,1335
"boleto",1,1336
"credit_card",2,1337
"boleto",1,1338
"credit_card",8,1339
"credit_card",3,1340
"credit_card",1,1341
"credit_card",6,1342
"credit_card",3,1343
"credit_card",1,1344
"boleto",1,1345
"boleto",1,1346
"credit_card",2,1347
"credit_card",10,1348
"credit_card",6,1349
"credit_card",2,1350
"credit_card",1,1351
"credit_card",1,1352
"credit_card",10,1353
"credit_card",2,1354
"credit_card",10,1355
"credit_card",8,1356
"credit_card",2,1357
"credit_card",3,1358
"credit_card",2,1359
"credit_card",12,1360
"credit_card",1,1361
"credit_card",2,1362
"credit_card",2,1363
"credit_card",2,1364
"credit_card",1,1365
"credit_card",2,1366
"credit_card",4,1367
"boleto",1,1368
"credit_card",1,1369
"credit_card",1,1370
"credit_card",5,1371
"credit_card",1,1372
"credit_card",10,1373
"credit_card",1,1374
"credit_card",2,1375
"credit_card",1,1376
"credit_card",1,1377
"credit_card",2,1378
"boleto",1,1379
"boleto",1,1380
"credit_card",1,1381
"debit_card",1,1382
"credit_card",1,1383
