DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,HIGH_CONSUMER,Total_Empl
Emergency Mgt Agency/MetroSafe,3/23/2019,2,12
Fire & Rescue                 ,3/11/2017,21,90
Fleet & Facilities,3/29/2014,9,30
Fleet & Facilities,12/20/2014,8,29
Fleet & Facilities,12/31/2016,12,29
Human Relations Commission    ,1/2/2016,1,4
Human Relations Commission    ,6/30/2018,0,3
Human Resources,2/14/2015,0,5
Human Resources,9/10/2016,1,3
Human Resources,11/19/2016,1,3
Human Resources,4/22/2017,0,4
Human Resources,8/26/2017,0,4
Human Resources,4/21/2018,1,3
Human Resources,11/3/2018,2,5
Kentuckiana Works Foundation,1/13/2018,0,1
Kentuckiana Works Foundation,6/1/2019,0,2
Library,7/19/2014,12,71
Library,9/26/2015,11,61
Library,6/16/2018,12,50
Louisville Metro Council      ,12/6/2014,2,13
Louisville Metro Council      ,7/2/2016,3,14
Louisville Metro Council      ,11/4/2017,1,11
Louisville Metro Council      ,8/11/2018,1,8
Louisville Metro Council      ,12/15/2018,1,9
Louisville Metro Council      ,4/6/2019,1,7
Louisville Metro EMS,8/31/2013,0,8
Louisville Metro EMS,7/1/2017,1,4
Louisville Metro EMS,5/5/2018,0,4
Louisville Metro EMS,6/2/2018,0,4
Louisville Metro EMS,5/4/2019,0,4
Mayor's Office                ,10/26/2013,1,5
Mayor's Office                ,3/12/2016,0,6
Mayor's Office                ,10/21/2017,0,5
Mayor's Office                ,4/20/2019,1,5
Metro Animal Services         ,8/2/2014,0,1
Metro Animal Services         ,8/30/2014,0,1
Metro Animal Services         ,2/28/2015,0,1
Metro Animal Services         ,6/6/2015,0,1
Metro Animal Services         ,8/15/2015,0,1
Metro Animal Services         ,10/8/2016,0,1
Metro Animal Services         ,11/18/2017,0,1
Metro Animal Services         ,3/24/2018,0,1
Metro Animal Services         ,5/19/2018,0,1
Metro Animal Services         ,9/8/2018,0,1
Metro Parks & Recreation,7/19/2014,18,78
Metro Parks & Recreation,9/26/2015,18,66
Metro Parks & Recreation,6/16/2018,10,44
Metro Police,10/12/2013,21,248
Metro Police,12/6/2014,15,212
Metro Police,11/7/2015,25,185
Metro Police,7/2/2016,21,156
Metro Police,7/28/2018,22,109
Metro Police,6/15/2019,12,97
OMB ,4/12/2014,6,27
OMB ,3/26/2016,5,23
OMB ,4/8/2017,6,18
OMB ,4/21/2018,6,16
Parking Authority of River Cty,1/4/2014,1,9
Parking Authority of River Cty,6/21/2014,1,9
Parking Authority of River Cty,7/5/2014,1,9
Parking Authority of River Cty,11/22/2014,1,9
Parking Authority of River Cty,4/25/2015,0,9
Public Health & Wellness,11/8/2014,0,2
Public Health & Wellness,10/8/2016,0,4
Public Health & Wellness,2/11/2017,0,4
Public Health & Wellness,5/6/2017,1,4
Public Health & Wellness,4/7/2018,1,4
Belle of Louisville           ,11/23/2013,1,2
Belle of Louisville           ,3/1/2014,0,1
Belle of Louisville           ,5/6/2017,0,1
Civic Innovation & Technology,7/16/2016,4,8
Civic Innovation & Technology,11/5/2016,2,6
Civic Innovation & Technology,11/4/2017,1,6
Civic Innovation & Technology,4/6/2019,1,4
Codes & Regulations,10/12/2013,3,25
Codes & Regulations,4/11/2015,5,20
Codes & Regulations,1/2/2016,5,22
Codes & Regulations,11/18/2017,5,23
Community Services,10/12/2013,4,18
Community Services,4/11/2015,1,11
Community Services,1/2/2016,1,9
Community Services,11/18/2017,1,10
Coroner                       ,6/7/2014,0,5
Coroner                       ,11/8/2014,0,5
Coroner                       ,7/16/2016,0,2
Coroner                       ,11/5/2016,0,3
Coroner                       ,5/6/2017,0,4
Coroner                       ,11/4/2017,0,6
Coroner                       ,8/11/2018,0,6
Coroner                       ,4/6/2019,0,7
Corrections                   ,12/21/2013,0,1
Corrections                   ,1/3/2015,0,1
Corrections                   ,12/31/2016,0,1
Corrections                   ,1/27/2018,0,1
Corrections                   ,3/10/2018,0,1
County Attorney               ,11/9/2013,0,7
County Attorney               ,2/27/2016,0,4
County Attorney               ,3/25/2017,0,3
County Attorney               ,7/29/2017,0,3
County Attorney               ,9/9/2017,0,3
County Attorney               ,7/13/2019,0,3
Develop Louisville,6/20/2015,4,12
Develop Louisville,9/12/2015,3,12
Develop Louisville,1/26/2019,4,6
Economic Development ,9/14/2013,0,6
Economic Development ,6/3/2017,0,2
Economic Development ,6/17/2017,0,2
Economic Development ,10/21/2017,0,2
Economic Development ,7/14/2018,0,1
Economic Development ,6/1/2019,0,1
Emergency Mgt Agency/MetroSafe,2/14/2015,3,22
Emergency Mgt Agency/MetroSafe,3/28/2015,3,22
Emergency Mgt Agency/MetroSafe,11/19/2016,3,17
Emergency Mgt Agency/MetroSafe,3/25/2017,4,17
Emergency Mgt Agency/MetroSafe,4/22/2017,4,17
Emergency Mgt Agency/MetroSafe,8/26/2017,2,16
Fire & Rescue                 ,2/28/2015,23,142
Fire & Rescue                 ,11/19/2016,16,96
Fire & Rescue                 ,7/15/2017,17,88
Fire & Rescue                 ,8/26/2017,15,80
Fire & Rescue                 ,2/24/2018,11,69
Fire & Rescue                 ,5/19/2018,10,70
Fleet & Facilities,2/14/2015,8,29
Fleet & Facilities,3/28/2015,8,29
Fleet & Facilities,11/19/2016,11,29
Fleet & Facilities,4/22/2017,11,27
Fleet & Facilities,8/25/2018,4,21
Human Relations Commission    ,10/11/2014,1,5
Human Relations Commission    ,5/6/2017,0,3
Human Relations Commission    ,5/5/2018,0,3
Human Relations Commission    ,5/19/2018,0,3
Human Relations Commission    ,6/2/2018,0,3
Human Resources,12/21/2013,0,6
Human Resources,1/18/2014,0,6
Human Resources,12/20/2014,0,4
Human Resources,12/5/2015,0,4
Human Resources,3/26/2016,1,3
Human Resources,3/11/2017,0,3
Human Resources,12/2/2017,1,4
Human Resources,12/29/2018,2,3
Human Resources,3/23/2019,1,4
Kentuckiana Works Foundation,1/31/2015,0,2
Kentuckiana Works Foundation,7/4/2015,0,2
Kentuckiana Works Foundation,10/10/2015,0,1
Kentuckiana Works Foundation,4/23/2016,0,1
Library,12/19/2015,11,59
Library,7/16/2016,10,59
Library,7/30/2016,11,59
Library,8/25/2018,12,49
Library,10/20/2018,10,48
Library,4/6/2019,7,46
Louisville Metro Council      ,6/7/2014,3,14
Louisville Metro Council      ,12/3/2016,2,14
Louisville Metro Council      ,12/31/2016,3,14
Louisville Metro Council      ,12/16/2017,1,10
Louisville Metro Council      ,6/16/2018,1,9
Louisville Metro Council      ,7/28/2018,1,8
Louisville Metro EMS,2/28/2015,0,5
Louisville Metro EMS,4/11/2015,0,5
Louisville Metro EMS,1/2/2016,0,5
Louisville Metro EMS,11/18/2017,0,3
Mayor's Office                ,10/10/2015,1,6
Mayor's Office                ,6/30/2018,1,5
Metro Animal Services         ,1/4/2014,0,1
Metro Animal Services         ,4/8/2017,0,1
Metro Animal Services         ,7/1/2017,0,1
Metro Animal Services         ,5/4/2019,0,1
Metro Animal Services         ,7/13/2019,0,1
Metro Parks & Recreation,10/11/2014,15,71
Metro Parks & Recreation,5/7/2016,16,62
Metro Parks & Recreation,11/5/2016,13,57
Metro Parks & Recreation,11/4/2017,7,49
Metro Parks & Recreation,8/11/2018,9,44
Metro Parks & Recreation,12/15/2018,6,39
Metro Police,8/31/2013,17,250
Metro Police,3/1/2014,14,238
Metro Police,5/20/2017,17,146
Metro Police,6/29/2019,13,97
Metro Police,8/10/2019,12,96
OMB ,5/24/2014,6,25
OMB ,11/19/2016,7,19
OMB ,2/25/2017,6,19
Parking Authority of River Cty,8/15/2015,1,9
Parking Authority of River Cty,11/21/2015,1,8
Parking Authority of River Cty,10/8/2016,1,7
Parking Authority of River Cty,2/11/2017,1,5
Parking Authority of River Cty,9/9/2017,2,5
Public Health & Wellness,8/31/2013,0,2
Public Health & Wellness,11/23/2013,0,2
Public Health & Wellness,3/1/2014,0,2
Public Health & Wellness,6/7/2014,0,2
Public Health & Wellness,4/25/2015,0,2
Belle of Louisville           ,8/30/2014,0,2
Belle of Louisville           ,8/15/2015,0,3
Belle of Louisville           ,6/4/2016,0,1
Belle of Louisville           ,10/8/2016,0,1
Civic Innovation & Technology,8/16/2014,4,9
Civic Innovation & Technology,11/8/2014,4,9
Civic Innovation & Technology,7/30/2016,3,8
Civic Innovation & Technology,12/31/2016,1,6
Civic Innovation & Technology,2/11/2017,1,6
Codes & Regulations,1/4/2014,3,24
Community Services,1/4/2014,2,12
Community Services,7/15/2017,1,9
Coroner                       ,4/9/2016,0,2
Coroner                       ,7/30/2016,0,2
Coroner                       ,12/31/2016,0,4
Coroner                       ,2/11/2017,0,4
Corrections                   ,1/18/2014,0,1
Corrections                   ,10/11/2014,0,1
Corrections                   ,12/20/2014,0,1
Corrections                   ,11/5/2016,0,1
Corrections                   ,1/28/2017,0,1
Corrections                   ,3/11/2017,0,1
Corrections                   ,11/4/2017,0,1
Corrections                   ,12/2/2017,0,1
Corrections                   ,1/13/2018,0,1
Corrections                   ,12/29/2018,1,2
Corrections                   ,3/23/2019,1,2
County Attorney               ,2/15/2014,0,7
County Attorney               ,9/13/2014,0,6
County Attorney               ,1/16/2016,0,4
County Attorney               ,5/18/2019,0,3
Develop Louisville,5/24/2014,7,16
Develop Louisville,6/4/2016,2,11
Develop Louisville,1/27/2018,3,7
Develop Louisville,3/10/2018,4,7
Economic Development ,11/23/2013,2,6
Economic Development ,2/15/2014,3,5
Economic Development ,9/13/2014,1,4
Emergency Mgt Agency/MetroSafe,1/4/2014,5,24
Emergency Mgt Agency/MetroSafe,7/13/2019,2,13
Fire & Rescue                 ,3/29/2014,20,157
Fire & Rescue                 ,9/10/2016,17,97
Fire & Rescue                 ,5/20/2017,17,88
Fire & Rescue                 ,10/20/2018,4,60
Fleet & Facilities,3/25/2017,15,28
Fleet & Facilities,7/28/2018,5,22
Fleet & Facilities,7/13/2019,6,19
Human Relations Commission    ,8/31/2013,0,4
Human Relations Commission    ,3/1/2014,1,4
Human Relations Commission    ,8/30/2014,1,5
Human Relations Commission    ,6/6/2015,0,5
Human Relations Commission    ,12/5/2015,1,4
Human Relations Commission    ,9/8/2018,0,3
Human Relations Commission    ,2/9/2019,0,3
Human Resources,3/15/2014,0,6
Human Resources,8/2/2014,2,5
Human Resources,8/30/2014,2,5
Human Resources,1/3/2015,0,4
Human Resources,6/6/2015,0,5
Human Resources,8/1/2015,0,4
Human Resources,8/15/2015,0,4
Human Resources,5/7/2016,1,3
Human Resources,10/8/2016,1,2
Human Resources,3/24/2018,1,4
Human Resources,9/8/2018,2,4
Human Resources,11/17/2018,2,4
Human Resources,8/10/2019,2,3
Kentuckiana Works Foundation,7/5/2014,0,2
Kentuckiana Works Foundation,9/27/2014,0,2
Kentuckiana Works Foundation,3/14/2015,0,2
Kentuckiana Works Foundation,9/26/2015,0,1
Kentuckiana Works Foundation,10/24/2015,0,1
Kentuckiana Works Foundation,12/19/2015,0,1
Kentuckiana Works Foundation,5/21/2016,0,1
Kentuckiana Works Foundation,10/6/2018,0,2
Kentuckiana Works Foundation,12/1/2018,0,2
Library,8/27/2016,12,59
Library,7/15/2017,5,54
Louisville Metro Council      ,3/28/2015,3,16
Louisville Metro Council      ,3/12/2016,3,14
Louisville Metro Council      ,7/16/2016,3,14
Louisville Metro Council      ,7/30/2016,3,14
Louisville Metro Council      ,2/25/2017,0,12
Louisville Metro Council      ,4/20/2019,1,7
Louisville Metro EMS,7/15/2017,1,4
Louisville Metro EMS,10/20/2018,0,4
Mayor's Office                ,4/12/2014,1,5
Mayor's Office                ,5/24/2014,0,5
Mayor's Office                ,12/19/2015,0,6
Mayor's Office                ,7/16/2016,0,6
Mayor's Office                ,7/30/2016,0,6
Mayor's Office                ,4/8/2017,0,6
Mayor's Office                ,4/6/2019,2,5
Metro Animal Services         ,3/25/2017,0,1
Metro Animal Services         ,4/22/2017,0,1
Metro Animal Services         ,7/28/2018,0,1
Metro Parks & Recreation,12/21/2013,18,77
Metro Parks & Recreation,3/15/2014,20,76
Metro Parks & Recreation,1/3/2015,17,68
Metro Parks & Recreation,8/1/2015,18,68
Metro Parks & Recreation,2/13/2016,19,63
Metro Parks & Recreation,4/21/2018,8,46
Metro Parks & Recreation,11/17/2018,6,40
Metro Parks & Recreation,8/10/2019,6,37
Metro Police,4/11/2015,20,205
Metro Police,4/7/2018,22,114
OMB ,3/29/2014,6,27
OMB ,2/28/2015,7,23
OMB ,8/27/2016,7,21
OMB ,7/15/2017,5,19
OMB ,8/26/2017,5,19
OMB ,2/10/2018,6,16
OMB ,6/16/2018,7,16
Parking Authority of River Cty,11/23/2013,2,9
Parking Authority of River Cty,12/20/2014,2,9
Parking Authority of River Cty,5/6/2017,1,5
Parking Authority of River Cty,12/2/2017,1,5
Parking Authority of River Cty,12/29/2018,2,5
Parking Authority of River Cty,3/23/2019,2,5
Public Health & Wellness,9/14/2013,0,2
Public Health & Wellness,11/7/2015,0,2
Public Health & Wellness,5/4/2019,1,3
Public Health & Wellness,6/15/2019,2,3
PW&A ,1/4/2014,27,93
Belle of Louisville           ,3/29/2014,0,1
Belle of Louisville           ,4/11/2015,0,1
Belle of Louisville           ,9/10/2016,0,1
Civic Innovation & Technology,2/1/2014,4,9
Civic Innovation & Technology,2/13/2016,3,8
Civic Innovation & Technology,11/17/2018,1,5
Codes & Regulations,4/26/2014,4,22
Codes & Regulations,12/30/2017,5,21
Codes & Regulations,7/14/2018,10,20
Codes & Regulations,1/12/2019,11,20
Codes & Regulations,3/9/2019,8,19
Community Services,11/9/2013,5,18
Community Services,9/23/2017,1,9
Community Services,12/30/2017,2,9
Community Services,3/10/2018,3,9
Community Services,7/14/2018,1,9
Community Services,12/1/2018,2,10
Community Services,3/9/2019,2,8
Coroner                       ,9/14/2013,0,6
Coroner                       ,10/25/2014,0,5
Coroner                       ,5/9/2015,0,5
Coroner                       ,12/17/2016,0,4
Corrections                   ,10/24/2015,0,1
Corrections                   ,5/21/2016,0,1
Corrections                   ,6/4/2016,0,1
Corrections                   ,9/22/2018,1,2
Corrections                   ,7/27/2019,0,2
County Attorney               ,2/14/2015,0,6
County Attorney               ,8/1/2015,0,5
County Attorney               ,8/27/2016,0,4
County Attorney               ,2/25/2017,0,3
County Attorney               ,7/15/2017,0,3
Develop Louisville,10/12/2013,3,16
Develop Louisville,3/29/2014,7,16
Develop Louisville,1/2/2016,4,11
Develop Louisville,12/31/2016,2,10
Develop Louisville,1/28/2017,1,9
Develop Louisville,6/30/2018,4,7
Develop Louisville,12/29/2018,4,6
Develop Louisville,5/4/2019,2,5
Economic Development ,8/31/2013,0,6
Economic Development ,8/30/2014,1,4
Economic Development ,6/6/2015,0,3
Economic Development ,5/5/2018,0,1
Economic Development ,6/2/2018,0,1
Economic Development ,9/8/2018,0,1
Economic Development ,8/10/2019,0,1
Emergency Mgt Agency/MetroSafe,10/10/2015,5,21
Emergency Mgt Agency/MetroSafe,6/18/2016,3,20
Emergency Mgt Agency/MetroSafe,1/26/2019,2,12
Emergency Mgt Agency/MetroSafe,5/18/2019,2,13
Emergency Mgt Agency/MetroSafe,6/1/2019,2,13
Fire & Rescue                 ,7/4/2015,23,138
Fire & Rescue                 ,11/21/2015,15,117
Fire & Rescue                 ,6/4/2016,16,112
Fire & Rescue                 ,10/7/2017,15,79
Fleet & Facilities,11/23/2013,7,30
Fleet & Facilities,2/15/2014,9,30
Fleet & Facilities,1/31/2015,7,29
Fleet & Facilities,7/29/2017,8,25
Fleet & Facilities,2/10/2018,6,23
Fleet & Facilities,10/6/2018,5,21
Fleet & Facilities,1/26/2019,5,20
Human Relations Commission    ,8/16/2014,2,5
Human Relations Commission    ,4/23/2016,0,3
Human Relations Commission    ,5/21/2016,0,3
Human Relations Commission    ,1/12/2019,0,3
Human Resources,9/28/2013,0,7
Human Resources,10/6/2018,2,4
Human Resources,1/26/2019,1,3
Human Resources,6/1/2019,1,3
Kentuckiana Works Foundation,8/30/2014,0,2
Kentuckiana Works Foundation,12/20/2014,0,2
Kentuckiana Works Foundation,2/28/2015,0,2
Kentuckiana Works Foundation,6/6/2015,0,2
Kentuckiana Works Foundation,11/19/2016,0,1
Kentuckiana Works Foundation,11/4/2017,0,1
Kentuckiana Works Foundation,9/8/2018,0,2
Kentuckiana Works Foundation,2/9/2019,0,2
Library,7/5/2014,13,72
Library,4/23/2016,9,59
Library,6/29/2019,10,45
Louisville Metro Council      ,1/31/2015,2,15
Louisville Metro Council      ,2/23/2019,1,7
Louisville Metro Council      ,6/1/2019,1,8
Louisville Metro EMS,11/9/2013,0,6
Louisville Metro EMS,5/10/2014,0,6
Louisville Metro EMS,9/24/2016,0,5
Louisville Metro EMS,9/23/2017,0,3
Louisville Metro EMS,12/30/2017,0,4
Louisville Metro EMS,3/10/2018,0,4
Louisville Metro EMS,7/14/2018,0,4
Louisville Metro EMS,12/1/2018,0,4
Louisville Metro EMS,3/9/2019,0,4
Mayor's Office                ,4/25/2015,0,4
Mayor's Office                ,9/9/2017,0,6
Metro Animal Services         ,9/14/2013,0,1
Metro Animal Services         ,2/15/2014,0,1
Metro Animal Services         ,1/31/2015,0,1
Metro Animal Services         ,1/13/2018,0,1
Metro Animal Services         ,2/10/2018,0,1
Metro Animal Services         ,2/23/2019,0,1
Metro Parks & Recreation,2/15/2014,18,77
Metro Parks & Recreation,6/7/2014,19,80
Metro Parks & Recreation,7/5/2014,20,81
Metro Police,9/14/2013,19,248
Metro Police,1/17/2015,19,209
Metro Police,2/23/2019,18,99
OMB ,9/28/2013,10,28
OMB ,8/16/2014,6,24
OMB ,9/27/2014,5,24
OMB ,5/18/2019,8,15
Parking Authority of River Cty,2/1/2014,0,9
Parking Authority of River Cty,5/24/2014,2,9
Parking Authority of River Cty,12/5/2015,2,8
Parking Authority of River Cty,12/19/2015,2,8
Parking Authority of River Cty,4/8/2017,1,5
Parking Authority of River Cty,11/17/2018,2,4
Public Health & Wellness,3/15/2014,0,2
Public Health & Wellness,5/24/2014,0,2
Public Health & Wellness,4/9/2016,0,3
Public Health & Wellness,5/7/2016,0,3
Public Health & Wellness,8/27/2016,0,3
Public Health & Wellness,1/27/2018,1,3
Public Health & Wellness,4/20/2019,1,3
PW&A ,10/21/2017,16,57
PW&A ,12/30/2017,14,56
Belle of Louisville           ,12/21/2013,0,1
Belle of Louisville           ,3/15/2014,0,1
Belle of Louisville           ,2/14/2015,0,1
Belle of Louisville           ,8/1/2015,0,3
Belle of Louisville           ,10/7/2017,0,1
Civic Innovation & Technology,4/12/2014,4,9
Civic Innovation & Technology,9/26/2015,3,8
Civic Innovation & Technology,12/19/2015,3,8
Civic Innovation & Technology,4/23/2016,4,8
Civic Innovation & Technology,4/8/2017,1,6
Civic Innovation & Technology,5/20/2017,1,6
Civic Innovation & Technology,9/23/2017,1,6
Civic Innovation & Technology,1/12/2019,1,4
Civic Innovation & Technology,6/1/2019,1,4
Codes & Regulations,12/21/2013,3,24
Codes & Regulations,2/14/2015,6,20
Codes & Regulations,2/27/2016,6,23
Codes & Regulations,10/7/2017,6,23
Codes & Regulations,8/25/2018,9,21
Community Services,4/25/2015,1,11
Community Services,2/27/2016,2,9
Community Services,11/17/2018,2,10
Coroner                       ,10/10/2015,0,4
Coroner                       ,9/23/2017,0,5
Coroner                       ,12/1/2018,0,6
Corrections                   ,1/14/2017,0,1
Corrections                   ,5/6/2017,0,1
Corrections                   ,2/10/2018,0,1
County Attorney               ,10/12/2013,0,7
County Attorney               ,12/6/2014,0,6
County Attorney               ,4/11/2015,0,6
County Attorney               ,1/2/2016,0,4
County Attorney               ,3/26/2016,0,4
County Attorney               ,1/28/2017,0,3
County Attorney               ,7/1/2017,0,3
County Attorney               ,12/29/2018,0,4
County Attorney               ,3/23/2019,0,4
County Attorney               ,5/4/2019,0,3
Develop Louisville,3/15/2014,7,16
Develop Louisville,8/2/2014,6,16
Develop Louisville,7/18/2015,4,12
Develop Louisville,8/1/2015,3,12
Develop Louisville,7/16/2016,2,11
Develop Louisville,9/8/2018,4,6
Develop Louisville,11/3/2018,4,6
Develop Louisville,12/15/2018,4,6
Develop Louisville,8/10/2019,2,5
Economic Development ,6/7/2014,2,5
Economic Development ,12/20/2014,1,4
Economic Development ,1/2/2016,0,2
Economic Development ,5/6/2017,0,2
Economic Development ,7/1/2017,0,2
Economic Development ,11/4/2017,0,2
Economic Development ,4/7/2018,0,1
Economic Development ,3/23/2019,0,1
Emergency Mgt Agency/MetroSafe,3/15/2014,6,24
Emergency Mgt Agency/MetroSafe,1/3/2015,4,22
Emergency Mgt Agency/MetroSafe,2/13/2016,3,19
Emergency Mgt Agency/MetroSafe,5/7/2016,4,20
Emergency Mgt Agency/MetroSafe,12/17/2016,3,17
Emergency Mgt Agency/MetroSafe,10/7/2017,1,16
Emergency Mgt Agency/MetroSafe,1/27/2018,0,13
Emergency Mgt Agency/MetroSafe,4/20/2019,2,13
Fire & Rescue                 ,5/9/2015,26,138
Fire & Rescue                 ,4/23/2016,17,114
Fire & Rescue                 ,8/13/2016,14,111
Fire & Rescue                 ,2/11/2017,17,91
Fire & Rescue                 ,9/23/2017,15,79
Fire & Rescue                 ,6/1/2019,6,58
Fleet & Facilities,5/10/2014,9,29
Fleet & Facilities,6/20/2015,10,28
Fleet & Facilities,5/7/2016,12,29
Fleet & Facilities,9/9/2017,6,24
Human Relations Commission    ,7/4/2015,0,5
Human Relations Commission    ,10/7/2017,0,3
Human Relations Commission    ,11/17/2018,0,3
Human Resources,1/4/2014,0,6
Human Resources,2/13/2016,0,3
Human Resources,1/27/2018,1,4
Human Resources,7/13/2019,1,5
Kentuckiana Works Foundation,4/12/2014,0,2
Kentuckiana Works Foundation,11/8/2014,0,2
Kentuckiana Works Foundation,2/11/2017,0,1
Kentuckiana Works Foundation,4/8/2017,0,1
Kentuckiana Works Foundation,5/20/2017,0,1
Kentuckiana Works Foundation,5/19/2018,0,1
Kentuckiana Works Foundation,4/6/2019,0,2
Library,4/25/2015,13,66
Library,11/17/2018,11,48
Louisville Metro Council      ,12/7/2013,2,14
Louisville Metro Council      ,2/1/2014,2,14
Louisville Metro Council      ,6/3/2017,1,12
Louisville Metro Council      ,10/21/2017,1,11
Louisville Metro Council      ,7/27/2019,1,8
Louisville Metro EMS,4/25/2015,0,5
Louisville Metro EMS,5/9/2015,0,5
Louisville Metro EMS,2/27/2016,0,5
Louisville Metro EMS,4/23/2016,0,5
Mayor's Office                ,11/8/2014,0,5
Mayor's Office                ,3/14/2015,1,4
Mayor's Office                ,7/18/2015,0,4
Mayor's Office                ,10/24/2015,1,6
Mayor's Office                ,5/21/2016,0,6
Mayor's Office                ,9/24/2016,0,6
Mayor's Office                ,2/11/2017,0,6
Mayor's Office                ,3/9/2019,2,5
Metro Animal Services         ,11/9/2013,0,1
Metro Animal Services         ,5/10/2014,0,1
Metro Animal Services         ,9/12/2015,0,1
Metro Animal Services         ,1/16/2016,0,1
Metro Parks & Recreation,1/4/2014,16,76
Metro Parks & Recreation,8/30/2014,18,75
Metro Parks & Recreation,8/15/2015,19,68
Metro Parks & Recreation,10/8/2016,11,60
Metro Police,11/9/2013,19,245
Metro Police,9/13/2014,16,218
Metro Police,9/12/2015,20,188
Metro Police,1/16/2016,22,175
Metro Police,3/26/2016,22,166
Metro Police,5/18/2019,11,97
OMB ,10/25/2014,6,24
OMB ,5/9/2015,8,23
OMB ,5/23/2015,7,23
OMB ,1/14/2017,5,19
Parking Authority of River Cty,11/19/2016,1,5
Belle of Louisville           ,9/23/2017,0,1
Civic Innovation & Technology,10/11/2014,4,9
Civic Innovation & Technology,8/27/2016,3,8
Civic Innovation & Technology,3/11/2017,1,6
Civic Innovation & Technology,7/15/2017,1,6
Civic Innovation & Technology,8/11/2018,1,5
Codes & Regulations,11/8/2014,6,20
Codes & Regulations,4/7/2018,8,21
Community Services,4/12/2014,3,12
Community Services,8/16/2014,2,12
Community Services,6/20/2015,2,11
Community Services,12/19/2015,1,9
Community Services,3/26/2016,1,8
Community Services,4/8/2017,1,8
Community Services,1/26/2019,2,9
Coroner                       ,12/21/2013,0,5
Coroner                       ,1/3/2015,0,5
Coroner                       ,8/1/2015,0,4
Coroner                       ,8/29/2015,0,3
Coroner                       ,11/21/2015,0,4
Coroner                       ,12/16/2017,0,6
Corrections                   ,8/31/2013,0,1
Corrections                   ,5/10/2014,0,1
Corrections                   ,12/19/2015,0,1
Corrections                   ,2/25/2017,0,1
Corrections                   ,5/5/2018,1,2
County Attorney               ,12/17/2016,0,3
County Attorney               ,8/12/2017,0,3
County Attorney               ,6/2/2018,0,4
Develop Louisville,12/21/2013,6,16
Develop Louisville,2/10/2018,4,7
Develop Louisville,10/20/2018,4,6
Develop Louisville,6/29/2019,2,5
Economic Development ,3/28/2015,0,3
Economic Development ,4/25/2015,0,3
Economic Development ,9/24/2016,0,2
Economic Development ,4/21/2018,0,1
Economic Development ,9/22/2018,0,1
Economic Development ,11/3/2018,0,1
Emergency Mgt Agency/MetroSafe,6/21/2014,4,23
Fire & Rescue                 ,8/31/2013,26,161
Fire & Rescue                 ,5/24/2014,19,156
Fire & Rescue                 ,5/5/2018,10,70
Fleet & Facilities,11/8/2014,8,29
Fleet & Facilities,9/26/2015,10,28
Fleet & Facilities,1/28/2017,12,28
Fleet & Facilities,2/11/2017,13,28
Fleet & Facilities,4/7/2018,6,23
Fleet & Facilities,6/16/2018,6,23
Human Relations Commission    ,8/13/2016,0,3
