MONTH_END_DATE,DEPT,REG_TEMP,AGE_GROUP_AT_DEPARTURE,ETHNIC_GROUP,GENDER,YEARS_IN_METRO,REASON,LEAVE_TYPE,EMP_LEFT,DEPT_EMP_LEFT,REG_TEMP_DEPT_TOTAL_EMP,DEPT_TOTAL_EMP,METRO_EMP_LEFT,REG_TEMP_METRO_TOTAL_EMP,METRO_TOTAL_EMP,MONTH,YEAR
1/31/2013,Louisville Metro Council      ,R,60 to 74 years,WHITE,M,1 to 4.9 years,Administration Change         ,Involuntary,2,6,13,13,61,633,643,January,2013
1/31/2013,Metro Police,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,6,152,152,61,633,643,January,2013
1/31/2013,OMB ,R,60 to 74 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,2,21,21,61,633,643,January,2013
1/31/2013,Youth Detention Services      ,R,60 to 74 years,BLACK,F,5 to 9.9 years,Normal Retirement             ,Retired,1,2,3,3,61,633,643,January,2013
3/31/2013,Codes & Regulations,R,45 to 59 years,WHITE,F,10 to 14.9 years,Normal Retirement             ,Retired,1,2,16,16,72,624,636,March,2013
4/30/2013,Metro Police,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,7,141,141,57,612,626,April,2013
5/31/2013,Library,R,45 to 59 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,7,43,47,72,609,625,May,2013
5/31/2013,Public Health & Wellness,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,72,609,625,May,2013
6/30/2013,Belle of Louisville           ,NULL,Under 20,BLACK,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,7,NULL,NULL,NULL,NULL,NULL,June,2013
7/31/2013,Community Services,NULL,20 to 29 years,BLACK,F,Under 1 year,Job Abandonmnt - DO NOT REHIRE,Voluntary,1,4,NULL,NULL,NULL,NULL,NULL,July,2013
7/31/2013,Corrections                   ,NULL,20 to 29 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,2,6,NULL,NULL,NULL,NULL,NULL,July,2013
7/31/2013,Louisville Metro EMS,R,20 to 29 years,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,13,9,9,140,601,616,July,2013
7/31/2013,Louisville Metro EMS,R,30 to 44 years,WHITE,F,Over 20,Normal Retirement             ,Retired,1,13,9,9,140,601,616,July,2013
7/31/2013,Metro Parks & Recreation,T,60 to 74 years,WHITE,M,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,38,5,57,140,15,616,July,2013
7/31/2013,Metro Police,R,45 to 59 years,BLACK,F,Over 20,Normal Retirement             ,Retired,1,21,134,134,140,601,616,July,2013
8/31/2013,Kentuckiana Works Foundation,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,194,569,585,August,2013
9/30/2013,Library,R,20 to 29 years,BLACK,M,5 to 9.9 years,Resignation                   ,Voluntary,1,4,40,43,61,562,577,September,2013
9/30/2013,Metro Parks & Recreation,T,30 to 44 years,WHITE,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,2,12,6,56,61,15,577,September,2013
9/30/2013,Metro Police,R,30 to 44 years,BLACK,M,Over 20,Normal Retirement             ,Retired,1,8,121,121,61,562,577,September,2013
9/30/2013,Waterfront Development Corp,T,Under 20,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,3,1,5,61,15,577,September,2013
10/31/2013,Coroner                       ,R,45 to 59 years,WHITE,F,Over 20,Resignation                   ,Voluntary,1,1,4,4,114,554,568,October,2013
10/31/2013,Fleet & Facilities,NULL,20 to 29 years,WHITE,M,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,3,NULL,NULL,NULL,NULL,NULL,October,2013
10/31/2013,Metro Parks & Recreation,T,Under 20,WHITE,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,10,5,55,114,14,568,October,2013
9/30/2012,Codes & Regulations,R,30 to 44 years,WHITE,F,1 to 4.9 years,Dismissed - DO NOT REHIRE,Involuntary,1,1,18,18,71,664,681,September,2012
9/30/2012,Louisville Metro Council      ,R,20 to 29 years,WHITE,M,Under 1 year,Term Due to Lay Off           ,Involuntary,1,2,13,13,71,664,681,September,2012
10/31/2012,Belle of Louisville           ,NULL,30 to 44 years,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,29,NULL,NULL,NULL,NULL,NULL,October,2012
10/31/2012,Metro Parks & Recreation,T,Under 20,BLACK,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,16,6,61,189,17,676,October,2012
11/30/2012,Metro Parks & Recreation,T,30 to 44 years,WHITE,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,2,31,5,60,97,15,669,November,2012
11/30/2012,Zoo,T,30 to 44 years,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,24,4,36,97,15,669,November,2012
12/31/2012,Belle of Louisville           ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,65,645,656,December,2012
12/31/2012,Emergency Mgt Agency/MetroSafe,R,20 to 29 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,3,23,23,65,645,656,December,2012
12/31/2012,Louisville Metro EMS,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,6,10,10,65,645,656,December,2012
1/31/2013,Public Health & Wellness,R,30 to 44 years,BLACK,F,Under 1 year,Resignation                   ,Voluntary,1,5,1,1,61,633,643,January,2013
2/28/2013,Corrections                   ,NULL,30 to 44 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,3,NULL,NULL,NULL,NULL,NULL,February,2013
2/28/2013,Library,R,20 to 29 years,ASIAN,F,5 to 9.9 years,Resignation                   ,Voluntary,1,1,44,46,42,628,637,February,2013
2/28/2013,Louisville Metro Council      ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,12,12,42,628,637,February,2013
3/31/2013,Zoo,T,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,7,5,36,72,12,636,March,2013
4/30/2013,Human Relations Commission    ,R,45 to 59 years,WHITE,F,10 to 14.9 years,Resignation                   ,Voluntary,1,1,2,2,57,612,626,April,2013
4/30/2013,Library,R,60 to 74 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,5,44,47,57,612,626,April,2013
4/30/2013,Zoo,T,20 to 29 years,WHITE,M,Under 1 year,Dismissed - DO NOT REHIRE,Involuntary,1,7,5,35,57,14,626,April,2013
5/31/2013,Coroner                       ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,4,72,609,625,May,2013
5/31/2013,Metro Police,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,2,11,138,138,72,609,625,May,2013
6/30/2013,Belle of Louisville           ,NULL,30 to 44 years,WHITE,M,Under 1 year,Dismissed - DO NOT REHIRE,Involuntary,1,7,NULL,NULL,NULL,NULL,NULL,June,2013
6/30/2013,Community Services,R,20 to 29 years,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,2,9,9,65,604,620,June,2013
6/30/2013,Fire & Rescue,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,112,112,65,604,620,June,2013
6/30/2013,Library,R,20 to 29 years,WHITE,F,1 to 4.9 years,Elimination of Position       ,Involuntary,1,3,43,47,65,604,620,June,2013
7/31/2013,Codes & Regulations,R,30 to 44 years,BLACK,M,Over 20,Normal Retirement             ,Retired,1,2,16,16,140,601,616,July,2013
7/31/2013,Zoo,T,Under 20,WHITE,M,Under 1 year,Job Abandonmnt - DO NOT REHIRE,Voluntary,1,9,5,35,140,15,616,July,2013
8/31/2013,Metro Police,R,30 to 44 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,6,122,122,194,569,585,August,2013
8/31/2013,PW&A ,R,60 to 74 years,BLACK,M,Over 20,Normal Retirement             ,Retired,1,4,61,61,194,569,585,August,2013
9/30/2013,Parking Authority of River Cty,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,61,562,577,September,2013
9/30/2013,Zoo,T,30 to 44 years,WHITE,F,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,11,4,34,61,15,577,September,2013
11/30/2013,Belle of Louisville           ,NULL,Under 20,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,21,NULL,NULL,NULL,NULL,NULL,November,2013
11/30/2013,Louisville Metro Council      ,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,10,10,150,549,562,November,2013
11/30/2013,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,30,34,150,549,562,November,2013
12/31/2013,Library,R,60 to 74 years,WHITE,M,15 to 19.9 years,Normal Retirement             ,Retired,1,2,39,42,51,546,555,December,2013
12/31/2013,Louisville Metro EMS,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,1,4,4,4,51,546,555,December,2013
12/31/2013,Public Health & Wellness,R,60 to 74 years,WHITE,M,10 to 14.9 years,Normal Retirement             ,Retired,1,6,1,1,51,546,555,December,2013
1/31/2014,Metro Parks & Recreation,R,20 to 29 years,BLACK,M,1 to 4.9 years,Resignation                   ,Voluntary,1,5,50,52,40,539,546,January,2014
2/28/2014,Human Resources,R,30 to 44 years,WHITE,F,10 to 14.9 years,Resignation                   ,Voluntary,1,1,5,5,63,536,543,February,2014
9/30/2012,Develop Louisville,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,10,10,71,664,681,September,2012
9/30/2012,Metro Police,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,11,162,162,71,664,681,September,2012
9/30/2012,Zoo,T,20 to 29 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,6,5,38,71,17,681,September,2012
11/30/2012,Kentuckiana Works Foundation,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,97,654,669,November,2012
11/30/2012,Metro Animal Services         ,R,45 to 59 years,WHITE,F,Under 1 year,Dismissed during Probation,Involuntary,1,1,1,1,97,654,669,November,2012
11/30/2012,Zoo,T,Under 20,WHITE,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,24,4,36,97,15,669,November,2012
12/31/2012,Belle of Louisville           ,NULL,45 to 59 years,HISPA,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,3,NULL,NULL,NULL,NULL,NULL,December,2012
12/31/2012,Parking Authority of River Cty,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,65,645,656,December,2012
1/31/2013,Metro Animal Services         ,R,20 to 29 years,WHITE,F,Under 1 year,No Show - DO NOT REHIRE,Other,1,3,1,1,61,633,643,January,2013
1/31/2013,PW&A ,NULL,60 to 74 years,WHITE,M,Over 20,End Temporary Employment      ,Temp/Seasonal,1,2,NULL,NULL,NULL,NULL,NULL,January,2013
2/28/2013,Develop Louisville,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,10,10,42,628,637,February,2013
2/28/2013,Human Resources,R,60 to 74 years,WHITE,F,15 to 19.9 years,Normal Retirement             ,Retired,1,2,6,7,42,628,637,February,2013
2/28/2013,Metro Animal Services         ,R,30 to 44 years,HISPA,M,Under 1 year,Resignation - DO NOT REHIRE,Voluntary,1,1,1,1,42,628,637,February,2013
2/28/2013,Parking Authority of River Cty,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,42,628,637,February,2013
2/28/2013,Youth Detention Services      ,R,20 to 29 years,WHITE,M,Under 1 year,Resigned during Probation,Voluntary,1,1,3,3,42,628,637,February,2013
3/31/2013,Codes & Regulations,R,30 to 44 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,16,16,72,624,636,March,2013
3/31/2013,Library,R,20 to 29 years,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,3,44,46,72,624,636,March,2013
3/31/2013,Mayor's Office                ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,72,624,636,March,2013
3/31/2013,Public Health & Wellness,R,30 to 44 years,BLACK,M,1 to 4.9 years,Resignation                   ,Voluntary,1,4,1,1,72,624,636,March,2013
3/31/2013,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,31,36,72,624,636,March,2013
4/30/2013,Codes & Regulations,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,2,16,16,57,612,626,April,2013
4/30/2013,Coroner                       ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,4,57,612,626,April,2013
4/30/2013,Economic Development ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,6,6,57,612,626,April,2013
4/30/2013,Metro Animal Services         ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,1,57,612,626,April,2013
4/30/2013,Metro Police,R,30 to 44 years,BLACK,M,Over 20,Normal Retirement             ,Retired,1,7,141,141,57,612,626,April,2013
5/31/2013,Mayor's Office                ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,72,609,625,May,2013
5/31/2013,Metro Parks & Recreation,R,20 to 29 years,WHITE,M,Under 1 year,Resignation                   ,Voluntary,1,11,53,57,72,609,625,May,2013
5/31/2013,OMB ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,21,21,72,609,625,May,2013
5/31/2013,PW&A ,R,60 to 74 years,WHITE,M,Over 20,Normal Retirement             ,Retired,2,2,62,62,72,609,625,May,2013
5/31/2013,Zoo,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,14,30,36,72,609,625,May,2013
6/30/2013,Belle of Louisville           ,NULL,Under 20,WHITE,U,Under 1 year,No Show - DO NOT REHIRE,Other,1,7,NULL,NULL,NULL,NULL,NULL,June,2013
6/30/2013,Corrections                   ,NULL,45 to 59 years,WHITE,F,5 to 9.9 years,Normal Retirement             ,Retired,1,4,NULL,NULL,NULL,NULL,NULL,June,2013
6/30/2013,Metro Police,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,6,136,136,65,604,620,June,2013
6/30/2013,OMB ,R,20 to 29 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,21,21,65,604,620,June,2013
6/30/2013,Public Health & Wellness,R,60 to 74 years,ASIAN,F,10 to 14.9 years,Term Due to Lay Off           ,Involuntary,1,5,1,1,65,604,620,June,2013
6/30/2013,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,30,35,65,604,620,June,2013
7/31/2013,Metro Police,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,6,21,134,134,140,601,616,July,2013
8/31/2013,Economic Development ,R,45 to 59 years,WHITE,M,15 to 19.9 years,Early Retirement              ,Retired,1,1,5,5,194,569,585,August,2013
8/31/2013,Human Relations Commission    ,NULL,20 to 29 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,1,NULL,NULL,NULL,NULL,NULL,August,2013
8/31/2013,Public Health & Wellness,NULL,20 to 29 years,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,9,NULL,NULL,NULL,NULL,NULL,August,2013
9/30/2012,Emergency Mgt Agency/MetroSafe,R,45 to 59 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,2,23,23,71,664,681,September,2012
9/30/2012,Metro Parks & Recreation,T,60 to 74 years,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,7,6,61,71,17,681,September,2012
10/31/2012,Human Relations Commission    ,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,1,2,2,189,659,676,October,2012
10/31/2012,Zoo,R,30 to 44 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,103,32,37,189,659,676,October,2012
10/31/2012,Zoo,T,20 to 29 years,BLACK,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,103,5,37,189,17,676,October,2012
10/31/2012,Zoo,T,20 to 29 years,WHITE,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,11,103,5,37,189,17,676,October,2012
10/31/2012,Zoo,T,60 to 74 years,BLACK,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,103,5,37,189,17,676,October,2012
11/30/2012,Metro Parks & Recreation,R,60 to 74 years,WHITE,M,10 to 14.9 years,Resignation                   ,Voluntary,1,31,55,60,97,654,669,November,2012
11/30/2012,Zoo,T,20 to 29 years,BLACK,F,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,24,4,36,97,15,669,November,2012
12/31/2012,Civic Innovation & Technology,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,1,8,8,65,645,656,December,2012
12/31/2012,Metro Parks & Recreation,T,Under 20,WHITE,F,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,7,3,58,65,11,656,December,2012
1/31/2013,Louisville Metro Council      ,R,45 to 59 years,WHITE,M,1 to 4.9 years,Administration Change         ,Involuntary,1,6,13,13,61,633,643,January,2013
1/31/2013,Louisville Metro Council      ,R,60 to 74 years,WHITE,F,10 to 14.9 years,Normal Retirement             ,Retired,1,6,13,13,61,633,643,January,2013
1/31/2013,Parking Authority of River Cty,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,5,61,633,643,January,2013
2/28/2013,Codes & Regulations,R,45 to 59 years,BLACK,M,Over 20,Normal Retirement             ,Retired,2,4,16,16,42,628,637,February,2013
2/28/2013,Metro Parks & Recreation,T,45 to 59 years,WHITE,M,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,14,3,57,42,9,637,February,2013
2/28/2013,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,31,33,42,628,637,February,2013
3/31/2013,Fire & Rescue,R,45 to 59 years,WHITE,M,Over 20,Normal Retirement             ,Retired,2,3,115,115,72,624,636,March,2013
3/31/2013,Human Resources,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,6,72,624,636,March,2013
3/31/2013,Metro Animal Services         ,R,20 to 29 years,BLACK,F,5 to 9.9 years,Resignation                   ,Voluntary,1,3,1,1,72,624,636,March,2013
4/30/2013,Human Resources,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,5,6,57,612,626,April,2013
4/30/2013,Library,R,60 to 74 years,WHITE,M,5 to 9.9 years,Death                         ,Other,1,5,44,47,57,612,626,April,2013
4/30/2013,Waterfront Development Corp,T,NULL,NULL,NULL,NULL,NULL,NULL,0,0,1,5,57,14,626,April,2013
5/31/2013,Civic Innovation & Technology,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,2,8,8,72,609,625,May,2013
5/31/2013,Codes & Regulations,R,60 to 74 years,BLACK,M,10 to 14.9 years,Dismissed - DO NOT REHIRE,Involuntary,1,3,16,16,72,609,625,May,2013
5/31/2013,Metro Police,R,45 to 59 years,BLACK,M,10 to 14.9 years,Normal Retirement             ,Retired,1,11,138,138,72,609,625,May,2013
5/31/2013,Zoo,T,20 to 29 years,BLACK,F,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,14,6,36,72,16,625,May,2013
6/30/2013,Metro Parks & Recreation,T,60 to 74 years,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,11,5,57,65,16,620,June,2013
7/31/2013,Belle of Louisville           ,NULL,20 to 29 years,BLACK,M,Under 1 year,Resignation                   ,Voluntary,1,7,NULL,NULL,NULL,NULL,NULL,July,2013
7/31/2013,Belle of Louisville           ,NULL,Under 20,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,7,NULL,NULL,NULL,NULL,NULL,July,2013
7/31/2013,Coroner                       ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,4,4,140,601,616,July,2013
7/31/2013,Human Relations Commission    ,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,2,2,140,601,616,July,2013
7/31/2013,OMB ,R,20 to 29 years,WHITE,F,5 to 9.9 years,Resignation                   ,Voluntary,1,2,21,21,140,601,616,July,2013
7/31/2013,Zoo,T,20 to 29 years,WHITE,F,Under 1 year,Resignation                   ,Voluntary,1,9,5,35,140,15,616,July,2013
8/31/2013,Library,R,30 to 44 years,WHITE,F,10 to 14.9 years,Resignation                   ,Voluntary,1,4,40,43,194,569,585,August,2013
8/31/2013,Metro Parks & Recreation,T,30 to 44 years,WHITE,F,Under 1 year,End Temporary Employment      ,Temp/Seasonal,1,86,6,56,194,16,585,August,2013
8/31/2013,Metro Parks & Recreation,T,Under 20,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,1,86,6,56,194,16,585,August,2013
9/30/2012,Public Health & Wellness,NULL,20 to 29 years,BLACK,M,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,6,NULL,NULL,NULL,NULL,NULL,September,2012
9/30/2012,Zoo,R,NULL,NULL,NULL,NULL,NULL,NULL,0,0,33,38,71,664,681,September,2012
10/31/2012,Belle of Louisville           ,NULL,45 to 59 years,WHITE,F,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,1,29,NULL,NULL,NULL,NULL,NULL,October,2012
10/31/2012,Community Services,R,30 to 44 years,BLACK,F,1 to 4.9 years,Resignation                   ,Voluntary,1,3,9,9,189,659,676,October,2012
10/31/2012,Metro Parks & Recreation,T,Under 20,BLACK,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,16,6,61,189,17,676,October,2012
10/31/2012,Zoo,T,Under 20,WHITE,F,5 to 9.9 years,End Temporary Employment      ,Temp/Seasonal,2,103,5,37,189,17,676,October,2012
10/31/2012,Zoo,T,Under 20,WHITE,M,Under 1 year,End Temporary Employment      ,Temp/Seasonal,9,103,5,37,189,17,676,October,2012
12/31/2012,Louisville Metro EMS,R,60 to 74 years,WHITE,F,Over 20,Normal Retirement             ,Retired,1,6,10,10,65,645,656,December,2012
12/31/2012,Public Health & Wellness,R,60 to 74 years,WHITE,F,15 to 19.9 years,Normal Retirement             ,Retired,1,4,1,1,65,645,656,December,2012
12/31/2012,PW&A ,R,30 to 44 years,WHITE,M,1 to 4.9 years,Dismissed - DO NOT REHIRE,Involuntary,1,4,65,65,65,645,656,December,2012
1/31/2013,Metro Parks & Recreation,T,45 to 59 years,BLACK,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,10,4,59,61,10,643,January,2013
2/28/2013,Fleet & Facilities,NULL,45 to 59 years,BLACK,M,1 to 4.9 years,Resignation                   ,Voluntary,1,1,NULL,NULL,NULL,NULL,NULL,February,2013
2/28/2013,Metro Parks & Recreation,R,Under 20,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,14,54,57,42,628,637,February,2013
3/31/2013,Louisville Metro EMS,R,30 to 44 years,WHITE,M,5 to 9.9 years,Resignation                   ,Voluntary,1,2,9,9,72,624,636,March,2013
5/31/2013,Library,R,30 to 44 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,7,43,47,72,609,625,May,2013
5/31/2013,Metro Police,R,60 to 74 years,WHITE,F,Over 20,Normal Retirement             ,Retired,2,11,138,138,72,609,625,May,2013
5/31/2013,Metro Police,R,Over 74,WHITE,F,5 to 9.9 years,Normal Retirement             ,Retired,1,11,138,138,72,609,625,May,2013
6/30/2013,Codes & Regulations,R,60 to 74 years,WHITE,M,1 to 4.9 years,Resignation                   ,Voluntary,1,3,16,16,65,604,620,June,2013
7/31/2013,Codes & Regulations,R,20 to 29 years,WHITE,F,1 to 4.9 years,Resignation                   ,Voluntary,1,2,16,16,140,601,616,July,2013
8/31/2013,Metro Parks & Recreation,R,30 to 44 years,WHITE,M,10 to 14.9 years,Resignation                   ,Voluntary,1,86,50,56,194,569,585,August,2013
9/30/2013,Metro Police,R,60 to 74 years,WHITE,F,10 to 14.9 years,Normal Retirement             ,Retired,1,8,121,121,61,562,577,September,2013
9/30/2013,Waterfront Development Corp,T,20 to 29 years,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,3,1,5,61,15,577,September,2013
9/30/2013,Zoo,T,20 to 29 years,WHITE,F,Under 1 year,Dismissed - Elig for Rehire,Involuntary,1,11,4,34,61,15,577,September,2013
10/31/2013,Metro Parks & Recreation,T,Under 20,BLACK,M,Under 1 year,End Seasonal Employment,Temp/Seasonal,1,10,5,55,114,14,568,October,2013
10/31/2013,Zoo,T,45 to 59 years,WHITE,F,1 to 4.9 years,End Seasonal Employment,Temp/Seasonal,2,62,4,34,114,14,568,October,2013
11/30/2013,Belle of Louisville           ,NULL,Under 20,WHITE,M,1 to 4.9 years,End Temporary Employment      ,Temp/Seasonal,1,21,NULL,NULL,NULL,NULL,NULL,November,2013
11/30/2013,Economic Development ,R,45 to 59 years,WHITE,F,10 to 14.9 years,Resignation                   ,Voluntary,1,2,5,5,150,549,562,November,2013
11/30/2013,Metro Animal Services         ,R,30 to 44 years,WHITE,F,5 to 9.9 years,Resignation - DO NOT REHIRE,Voluntary,1,1,1,1,150,549,562,November,2013
11/30/2013,Metro Police,R,60 to 74 years,WHITE,F,Over 20,Resignation                   ,Voluntary,1,11,117,117,150,549,562,November,2013
2/28/2014,Metro Police,R,45 to 59 years,BLACK,F,Under 1 year,Resignation                   ,Voluntary,1,8,112,112,63,536,543,February,2014
