DEPT,BIWEEKLY_PAY_PERIOD_END_DATE,PARETO_TYPE,TOTAL_HOURS,TOTAL EMPLOYEE,TOTAL AVAL HOURS,LOST WORKTIME RATE
Belle of Louisville           ,11/22/2014,SICK,70.6,32,2346,0.030093
Belle of Louisville           ,12/6/2014,FMLA,64,29,2106,0.030389
Belle of Louisville           ,12/6/2014,SICK,39.2,29,2106,0.018613
Belle of Louisville           ,12/20/2014,FMLA,24,29,2106,0.011396
Belle of Louisville           ,12/20/2014,SICK,81.4,29,2106,0.038651
Belle of Louisville           ,12/20/2014,WORKERS COMP,80,29,2106,0.037986
Belle of Louisville           ,1/3/2015,SICK,53.2,29,2106,0.025261
Belle of Louisville           ,1/3/2015,WORKERS COMP,2,29,2106,0.000949
Belle of Louisville           ,1/17/2015,FUNERAL,23,29,2152,0.010687
Belle of Louisville           ,1/17/2015,SICK,40.4,29,2152,0.018773
Belle of Louisville           ,1/17/2015,WORKERS COMP,18,29,2152,0.008364
Belle of Louisville           ,1/31/2015,SICK,68.75,27,2038,0.033734
Belle of Louisville           ,1/31/2015,WORKERS COMP,20,27,2038,0.009813
Belle of Louisville           ,2/14/2015,FUNERAL,12.4,27,2038,0.006084
Belle of Louisville           ,2/14/2015,SICK,15.9,27,2038,0.007801
Belle of Louisville           ,2/14/2015,WORKERS COMP,25,27,2038,0.012266
Belle of Louisville           ,2/28/2015,FMLA,105,27,2038,0.051521
Belle of Louisville           ,2/28/2015,SICK,68.1,27,2038,0.033415
Belle of Louisville           ,3/14/2015,FMLA,25,30,2232,0.0112
Belle of Louisville           ,3/14/2015,SICK,6.5,30,2232,0.002912
Belle of Louisville           ,3/28/2015,SICK,194.65,34,2506,0.077673
Belle of Louisville           ,4/11/2015,SICK,45.11,42,2996,0.015056
Belle of Louisville           ,4/11/2015,UNPAID ABSENCE,8,42,2996,0.00267
Belle of Louisville           ,4/25/2015,UNPAID ABSENCE,24,41,2916,0.00823
Belle of Louisville           ,4/25/2015,WORKERS COMP,32,41,2916,0.010973
Belle of Louisville           ,5/9/2015,FUNERAL,24,49,3278,0.007321
Belle of Louisville           ,5/9/2015,SICK,37,49,3278,0.011287
Belle of Louisville           ,5/23/2015,SICK,13.2,63,4162,0.003171
Belle of Louisville           ,6/6/2015,SICK,6.6,62,4122,0.001601
Belle of Louisville           ,6/20/2015,FMLA,72,65,4186,0.0172
Belle of Louisville           ,6/20/2015,SICK,6,65,4186,0.001433
Belle of Louisville           ,7/4/2015,FMLA,72,66,4226,0.017037
Belle of Louisville           ,7/4/2015,FUNERAL,24,66,4226,0.005679
Belle of Louisville           ,7/4/2015,SICK,8,66,4226,0.001893
Belle of Louisville           ,7/18/2015,SICK,10.7,64,4132,0.002589
Belle of Louisville           ,8/1/2015,SICK,10,64,4132,0.00242
Belle of Louisville           ,8/15/2015,SICK,14,64,4178,0.00335
Belle of Louisville           ,8/29/2015,SICK,25,59,3848,0.006496
Belle of Louisville           ,9/12/2015,SICK,23.5,55,3578,0.006567
Belle of Louisville           ,9/26/2015,SICK,20.5,53,3418,0.005997
Belle of Louisville           ,10/10/2015,FUNERAL,24,56,3618,0.006633
Belle of Louisville           ,10/10/2015,SICK,2,56,3618,0.000552
Belle of Louisville           ,10/10/2015,UNPAID ABSENCE,4.5,56,3618,0.001243
Belle of Louisville           ,10/24/2015,FUNERAL,23.5,57,3698,0.006354
Belle of Louisville           ,10/24/2015,SICK,35.5,57,3698,0.009599
Belle of Louisville           ,11/7/2015,FUNERAL,20,57,3698,0.005408
Belle of Louisville           ,11/7/2015,SICK,18.75,57,3698,0.00507
Belle of Louisville           ,11/21/2015,FUNERAL,15.25,25,1924,0.007926
Belle of Louisville           ,11/21/2015,SICK,8,25,1924,0.004158
Belle of Louisville           ,12/5/2015,SICK,15.5,25,1878,0.008253
Belle of Louisville           ,12/19/2015,FUNERAL,24,26,1938,0.012383
Belle of Louisville           ,12/19/2015,SICK,2.75,26,1938,0.001418
Belle of Louisville           ,1/2/2016,SICK,17,24,1798,0.009454
Belle of Louisville           ,1/16/2016,SICK,26.3,23,1764,0.014909
Belle of Louisville           ,1/30/2016,SICK,4,24,1798,0.002224
Belle of Louisville           ,2/13/2016,SICK,11.5,24,1798,0.006395
Belle of Louisville           ,2/27/2016,SICK,15,24,1798,0.008342
Belle of Louisville           ,3/12/2016,SICK,69.5,29,2158,0.032205
Belle of Louisville           ,3/26/2016,SICK,12,31,2318,0.005176
Belle of Louisville           ,4/9/2016,SICK,22.9,39,2764,0.008285
Belle of Louisville           ,5/7/2016,FUNERAL,24,62,4124,0.005819
Belle of Louisville           ,5/7/2016,SICK,23.95,62,4124,0.005807
Belle of Louisville           ,5/21/2016,SICK,9.15,61,3954,0.002314
Belle of Louisville           ,6/4/2016,SICK,9.8,65,4098,0.002391
Belle of Louisville           ,6/18/2016,SICK,1.5,62,3954,0.000379
Belle of Louisville           ,7/2/2016,SICK,2,67,4352,0.000459
Belle of Louisville           ,7/16/2016,SICK,8,65,4182,0.001912
Belle of Louisville           ,7/16/2016,WORKERS COMP,40,65,4182,0.009564
Belle of Louisville           ,7/30/2016,SICK,16,67,4296,0.003724
Belle of Louisville           ,7/30/2016,WORKERS COMP,26.8,67,4296,0.006238
Belle of Louisville           ,8/13/2016,SICK,2.65,63,4072,0.00065
Belle of Louisville           ,8/13/2016,WORKERS COMP,50,63,4072,0.012278
Belle of Louisville           ,8/27/2016,SICK,20.75,63,4026,0.005153
Belle of Louisville           ,9/24/2016,SICK,11.9,61,3876,0.00307
Belle of Louisville           ,10/8/2016,SICK,9.75,59,3808,0.00256
Belle of Louisville           ,10/8/2016,SUSPENSION,24,59,3808,0.006302
Belle of Louisville           ,10/22/2016,SICK,35.5,59,3762,0.009436
Belle of Louisville           ,11/5/2016,SICK,16,55,3538,0.004522
Belle of Louisville           ,11/19/2016,SICK,24,28,2032,0.011811
Belle of Louisville           ,12/3/2016,SICK,58,32,2242,0.025869
Belle of Louisville           ,12/17/2016,SICK,6.2,28,1992,0.003112
Belle of Louisville           ,12/31/2016,SICK,43.35,26,1938,0.022368
Belle of Louisville           ,1/14/2017,SICK,37,22,1714,0.021586
Belle of Louisville           ,1/28/2017,FUNERAL,24,23,1748,0.013729
Belle of Louisville           ,1/28/2017,SICK,44.2,23,1748,0.025286
Belle of Louisville           ,2/11/2017,SICK,3,24,1782,0.001683
Belle of Louisville           ,2/25/2017,SICK,43.7,24,1782,0.024523
Belle of Louisville           ,3/11/2017,FMLA,60,29,2152,0.027881
Belle of Louisville           ,3/11/2017,SICK,53.25,29,2152,0.024744
Belle of Louisville           ,3/25/2017,FMLA,52,32,2392,0.021739
Belle of Louisville           ,3/25/2017,SICK,53.7,32,2392,0.022449
Belle of Louisville           ,4/8/2017,FMLA,88,49,3276,0.026862
Belle of Louisville           ,4/8/2017,SICK,52.5,49,3276,0.016025
Belle of Louisville           ,4/22/2017,FMLA,80,55,3574,0.022383
Belle of Louisville           ,4/22/2017,SICK,20.5,55,3574,0.005735
Belle of Louisville           ,5/6/2017,FMLA,80,62,3928,0.020366
Belle of Louisville           ,5/6/2017,SICK,5,62,3928,0.001272
Belle of Louisville           ,5/20/2017,FMLA,80,66,4208,0.019011
Belle of Louisville           ,5/20/2017,FUNERAL,24,66,4208,0.005703
Belle of Louisville           ,5/20/2017,SICK,2,66,4208,0.000475
Belle of Louisville           ,6/3/2017,FMLA,72,66,4208,0.01711
Belle of Louisville           ,6/3/2017,SICK,2,66,4208,0.000475
Belle of Louisville           ,6/17/2017,FMLA,80,69,4368,0.018315
Belle of Louisville           ,6/17/2017,FUNERAL,24,69,4368,0.005494
Belle of Louisville           ,6/17/2017,SICK,39.3,69,4368,0.008997
Belle of Louisville           ,7/1/2017,FMLA,63.38,66,4274,0.014829
Belle of Louisville           ,7/15/2017,SICK,7.5,65,4208,0.001782
Belle of Louisville           ,7/29/2017,SICK,7.2,68,4388,0.00164
Belle of Louisville           ,8/12/2017,SICK,7,65,4194,0.001669
Belle of Louisville           ,8/26/2017,SICK,51.95,64,4074,0.012751
Belle of Louisville           ,9/9/2017,SICK,26,62,3954,0.006575
Belle of Louisville           ,9/23/2017,SICK,27,58,3724,0.00725
Belle of Louisville           ,10/21/2017,SICK,10.5,57,3664,0.002865
Belle of Louisville           ,11/18/2017,SICK,21.5,27,2022,0.010633
Belle of Louisville           ,12/16/2017,SICK,12.5,25,1862,0.006713
Belle of Louisville           ,12/30/2017,SICK,16.3,24,1828,0.008916
Belle of Louisville           ,1/13/2018,SICK,13.7,25,1862,0.007357
Belle of Louisville           ,1/27/2018,JURY DUTY,40.5,22,1714,0.023628
Belle of Louisville           ,1/27/2018,SICK,22.5,22,1714,0.013127
Belle of Louisville           ,2/10/2018,SICK,26.5,25,1862,0.014232
Belle of Louisville           ,2/24/2018,SICK,44.45,22,1714,0.025933
Belle of Louisville           ,3/10/2018,SICK,11.5,27,1992,0.005773
Belle of Louisville           ,3/24/2018,FUNERAL,16,31,2312,0.00692
Belle of Louisville           ,3/24/2018,SICK,10.8,31,2312,0.004671
Belle of Louisville           ,4/7/2018,FUNERAL,32,36,2764,0.011577
Belle of Louisville           ,4/7/2018,SICK,44.6,36,2764,0.016136
Belle of Louisville           ,4/21/2018,FUNERAL,8,48,3382,0.002365
Belle of Louisville           ,4/21/2018,SICK,24,48,3382,0.007096
Belle of Louisville           ,5/5/2018,SICK,9,57,3804,0.002365
Belle of Louisville           ,5/19/2018,SICK,16,63,4104,0.003898
Belle of Louisville           ,6/2/2018,SICK,2,65,4264,0.000469
Belle of Louisville           ,6/16/2018,SICK,10.9,65,4360,0.0025
Belle of Louisville           ,6/30/2018,FMLA,40,67,4524,0.008841
Belle of Louisville           ,6/30/2018,SICK,0,67,4524,0
Belle of Louisville           ,7/14/2018,FMLA,72,66,4394,0.016385
Belle of Louisville           ,7/14/2018,SICK,1.25,66,4394,0.000284
Belle of Louisville           ,7/28/2018,SICK,8,70,4718,0.001695
Belle of Louisville           ,8/11/2018,SICK,19.55,68,4554,0.004292
Belle of Louisville           ,8/25/2018,SICK,1.7,65,4368,0.000389
Belle of Louisville           ,9/8/2018,SICK,2.2,63,4254,0.000517
Belle of Louisville           ,10/6/2018,SICK,36.2,58,3850,0.009402
Belle of Louisville           ,10/20/2018,SICK,21.65,60,3874,0.005588
Belle of Louisville           ,11/3/2018,SICK,46.3,60,3874,0.011951
Belle of Louisville           ,11/17/2018,SICK,10.5,27,2068,0.005077
Belle of Louisville           ,12/1/2018,SICK,3,25,1908,0.001572
Belle of Louisville           ,12/15/2018,FUNERAL,13,24,1828,0.007111
Belle of Louisville           ,12/15/2018,SICK,48.5,24,1828,0.026531
Belle of Louisville           ,12/29/2018,SICK,38.2,23,1794,0.021293
Belle of Louisville           ,1/12/2019,SICK,65.3,23,1794,0.036399
Belle of Louisville           ,1/26/2019,JURY DUTY,55.2,22,1714,0.032205
Belle of Louisville           ,1/26/2019,SICK,34.75,22,1714,0.020274
Belle of Louisville           ,2/9/2019,SICK,46.5,22,1714,0.027129
Belle of Louisville           ,2/23/2019,SICK,75.5,21,1634,0.046205
Belle of Louisville           ,3/9/2019,SICK,43.25,22,1714,0.025233
Belle of Louisville           ,3/9/2019,SUSPENSION,40,22,1714,0.023337
Belle of Louisville           ,3/23/2019,SICK,11.5,25,1954,0.005885
Belle of Louisville           ,3/23/2019,SUSPENSION,40,25,1954,0.02047
Belle of Louisville           ,4/6/2019,FUNERAL,24,38,2632,0.009118
Belle of Louisville           ,4/6/2019,SICK,5,38,2632,0.001899
Belle of Louisville           ,4/20/2019,SICK,21.25,44,2962,0.007174
Belle of Louisville           ,5/4/2019,SUSPENSION,106,52,3308,0.032043
Belle of Louisville           ,5/18/2019,SICK,1,54,3584,0.000279
Belle of Louisville           ,6/1/2019,SICK,0.3,62,3978,0.000075
Belle of Louisville           ,6/15/2019,SICK,3,69,4494,0.000667
Belle of Louisville           ,6/29/2019,SICK,23.9,68,4520,0.005287
Civic Innovation & Technology,7/20/2013,FUNERAL,24,61,4880,0.004918
Civic Innovation & Technology,7/20/2013,SICK,78.58,61,4880,0.016102
Civic Innovation & Technology,8/3/2013,JURY DUTY,16.75,61,4880,0.003432
Civic Innovation & Technology,8/3/2013,SICK,96,61,4880,0.019672
Civic Innovation & Technology,8/3/2013,UNPAID ABSENCE,8,61,4880,0.001639
Civic Innovation & Technology,8/17/2013,JURY DUTY,9.5,63,5040,0.001884
Civic Innovation & Technology,8/17/2013,SICK,137,63,5040,0.027182
Civic Innovation & Technology,8/31/2013,SICK,103.3,64,5120,0.020175
Civic Innovation & Technology,8/31/2013,SUSPENSION,10,64,5120,0.001953
Civic Innovation & Technology,8/31/2013,UNPAID ABSENCE,70.08,64,5120,0.013687
Civic Innovation & Technology,9/14/2013,SICK,107.1,64,5120,0.020917
Civic Innovation & Technology,9/14/2013,UNPAID ABSENCE,40,64,5120,0.007812
Civic Innovation & Technology,9/28/2013,FUNERAL,8,64,5120,0.001562
Civic Innovation & Technology,9/28/2013,SICK,74.75,64,5120,0.014599
Civic Innovation & Technology,9/28/2013,UNPAID ABSENCE,56,64,5120,0.010937
Civic Innovation & Technology,10/12/2013,FUNERAL,24,63,5040,0.004761
Civic Innovation & Technology,10/12/2013,SICK,65.65,63,5040,0.013025
Civic Innovation & Technology,10/12/2013,UNPAID ABSENCE,8,63,5040,0.001587
Civic Innovation & Technology,10/26/2013,SICK,116.3,63,5040,0.023075
Civic Innovation & Technology,11/9/2013,SICK,97.5,63,5040,0.019345
Civic Innovation & Technology,11/23/2013,FMLA,52,63,5040,0.010317
Civic Innovation & Technology,11/23/2013,FUNERAL,32,63,5040,0.006349
Civic Innovation & Technology,11/23/2013,SICK,148.1,63,5040,0.029384
Civic Innovation & Technology,12/7/2013,FMLA,80,63,5040,0.015873
Civic Innovation & Technology,12/7/2013,FUNERAL,24,63,5040,0.004761
Civic Innovation & Technology,12/7/2013,SICK,104,63,5040,0.020634
Civic Innovation & Technology,12/21/2013,FMLA,72,63,5040,0.014285
Civic Innovation & Technology,12/21/2013,SICK,120.55,63,5040,0.023918
Civic Innovation & Technology,1/4/2014,FMLA,88,62,4960,0.017741
Civic Innovation & Technology,1/4/2014,FUNERAL,24,62,4960,0.004838
Civic Innovation & Technology,1/4/2014,SICK,99.7,62,4960,0.0201
Civic Innovation & Technology,1/18/2014,FMLA,80,62,4960,0.016129
Civic Innovation & Technology,1/18/2014,SICK,208.3,62,4960,0.041995
Civic Innovation & Technology,2/1/2014,FMLA,72,61,4880,0.014754
Civic Innovation & Technology,2/1/2014,FUNERAL,24,61,4880,0.004918
Civic Innovation & Technology,2/1/2014,JURY DUTY,23.3,61,4880,0.004774
Civic Innovation & Technology,2/1/2014,SICK,147.45,61,4880,0.030215
Civic Innovation & Technology,2/1/2014,UNPAID ABSENCE,18,61,4880,0.003688
Civic Innovation & Technology,2/15/2014,FMLA,40,61,4880,0.008196
Civic Innovation & Technology,2/15/2014,JURY DUTY,14.5,61,4880,0.002971
Civic Innovation & Technology,2/15/2014,SICK,123.1,61,4880,0.025225
Civic Innovation & Technology,3/1/2014,SICK,83.6,61,4880,0.017131
Civic Innovation & Technology,3/15/2014,FMLA,40,60,4800,0.008333
Civic Innovation & Technology,3/15/2014,SICK,134.3,60,4800,0.027979
Civic Innovation & Technology,3/29/2014,FMLA,80,59,4720,0.016949
Civic Innovation & Technology,3/29/2014,JURY DUTY,8,59,4720,0.001694
Civic Innovation & Technology,3/29/2014,SICK,131.1,59,4720,0.027775
Civic Innovation & Technology,4/12/2014,FMLA,80,57,4560,0.017543
Civic Innovation & Technology,4/12/2014,SICK,79.1,57,4560,0.017346
Civic Innovation & Technology,4/26/2014,FMLA,80,56,4480,0.017857
Civic Innovation & Technology,4/26/2014,FUNERAL,16,56,4480,0.003571
Civic Innovation & Technology,4/26/2014,JURY DUTY,8,56,4480,0.001785
Civic Innovation & Technology,4/26/2014,SICK,199.05,56,4480,0.04443
Civic Innovation & Technology,5/10/2014,FMLA,160,56,4480,0.035714
Civic Innovation & Technology,5/10/2014,JURY DUTY,8,56,4480,0.001785
Civic Innovation & Technology,5/10/2014,SICK,115.9,56,4480,0.02587
Civic Innovation & Technology,5/24/2014,FMLA,80,56,4480,0.017857
Civic Innovation & Technology,5/24/2014,SICK,140.1,56,4480,0.031272
Civic Innovation & Technology,6/7/2014,FMLA,68,55,4400,0.015454
Civic Innovation & Technology,6/7/2014,FUNERAL,40,55,4400,0.00909
Civic Innovation & Technology,6/7/2014,JURY DUTY,8,55,4400,0.001818
Civic Innovation & Technology,6/7/2014,SICK,67.15,55,4400,0.015261
Civic Innovation & Technology,6/21/2014,FMLA,56,54,4320,0.012962
Civic Innovation & Technology,6/21/2014,FUNERAL,16,54,4320,0.003703
Civic Innovation & Technology,6/21/2014,JURY DUTY,8,54,4320,0.001851
Civic Innovation & Technology,6/21/2014,SICK,58.2,54,4320,0.013472
Civic Innovation & Technology,6/21/2014,UNPAID ABSENCE,26.59,54,4320,0.006155
Civic Innovation & Technology,7/5/2014,FMLA,20,54,4320,0.004629
Civic Innovation & Technology,7/5/2014,SICK,132.15,54,4320,0.03059
Civic Innovation & Technology,7/5/2014,UNPAID ABSENCE,0,54,4320,0
Civic Innovation & Technology,7/19/2014,FMLA,64,54,4320,0.014814
Civic Innovation & Technology,7/19/2014,FUNERAL,24,54,4320,0.005555
Civic Innovation & Technology,7/19/2014,SICK,211,54,4320,0.048842
Civic Innovation & Technology,8/2/2014,SICK,57.4,54,4320,0.013287
Civic Innovation & Technology,8/16/2014,FMLA,40,57,4560,0.008771
Civic Innovation & Technology,8/16/2014,SICK,93.1,57,4560,0.020416
Civic Innovation & Technology,8/30/2014,FMLA,80,58,4640,0.017241
Civic Innovation & Technology,8/30/2014,SICK,78.88,58,4640,0.017
Civic Innovation & Technology,9/13/2014,FMLA,72,58,4640,0.015517
Civic Innovation & Technology,9/13/2014,SICK,102.05,58,4640,0.021993
Civic Innovation & Technology,9/27/2014,FMLA,80,57,4560,0.017543
Civic Innovation & Technology,9/27/2014,FUNERAL,24,57,4560,0.005263
Civic Innovation & Technology,9/27/2014,SICK,167.21,57,4560,0.036668
Civic Innovation & Technology,10/11/2014,FMLA,16,56,4480,0.003571
Civic Innovation & Technology,10/11/2014,SICK,73.15,56,4480,0.016328
Civic Innovation & Technology,10/25/2014,SICK,134.8,55,4400,0.030636
Civic Innovation & Technology,11/8/2014,SICK,95.4,55,4400,0.021681
Civic Innovation & Technology,11/22/2014,SICK,144.4,55,4400,0.032818
Civic Innovation & Technology,12/6/2014,SICK,65,56,4480,0.014508
Civic Innovation & Technology,12/20/2014,SICK,134.4,55,4400,0.030545
Civic Innovation & Technology,1/3/2015,FUNERAL,22.5,56,4480,0.005022
Civic Innovation & Technology,1/3/2015,SICK,228.5,56,4480,0.051004
Civic Innovation & Technology,1/3/2015,UNPAID ABSENCE,8.71,56,4480,0.001944
Civic Innovation & Technology,1/17/2015,SICK,126,56,4480,0.028125
Civic Innovation & Technology,1/31/2015,FMLA,64,56,4480,0.014285
Civic Innovation & Technology,1/31/2015,SICK,105.82,56,4480,0.02362
Civic Innovation & Technology,2/14/2015,FMLA,80,55,4400,0.018181
Civic Innovation & Technology,2/14/2015,FUNERAL,1.5,55,4400,0.00034
Civic Innovation & Technology,2/14/2015,SICK,85.35,55,4400,0.019397
Civic Innovation & Technology,2/28/2015,FMLA,40,56,4480,0.008928
Civic Innovation & Technology,2/28/2015,FUNERAL,24,56,4480,0.005357
Civic Innovation & Technology,2/28/2015,SICK,73,56,4480,0.016294
Civic Innovation & Technology,3/14/2015,SICK,83.35,55,4400,0.018943
Civic Innovation & Technology,3/28/2015,FUNERAL,32,55,4400,0.007272
Civic Innovation & Technology,3/28/2015,SICK,140.45,55,4400,0.03192
Civic Innovation & Technology,4/11/2015,SICK,39.1,55,4400,0.008886
Civic Innovation & Technology,4/25/2015,FUNERAL,20,54,4320,0.004629
Civic Innovation & Technology,4/25/2015,SICK,48.95,54,4320,0.011331
Civic Innovation & Technology,5/9/2015,SICK,46.5,55,4400,0.010568
Civic Innovation & Technology,5/23/2015,SICK,43.6,57,4560,0.009561
Civic Innovation & Technology,6/6/2015,SICK,92.7,58,4640,0.019978
Civic Innovation & Technology,6/20/2015,FUNERAL,24,57,4560,0.005263
Civic Innovation & Technology,6/20/2015,SICK,44,57,4560,0.009649
Civic Innovation & Technology,7/4/2015,FUNERAL,24,56,4480,0.005357
Civic Innovation & Technology,7/4/2015,SICK,70.3,56,4480,0.015691
Civic Innovation & Technology,7/18/2015,FMLA,8,58,4640,0.001724
Civic Innovation & Technology,7/18/2015,SICK,22.8,58,4640,0.004913
Civic Innovation & Technology,8/1/2015,SICK,58.5,59,4720,0.012394
Civic Innovation & Technology,8/15/2015,FMLA,2.5,58,4640,0.000538
Civic Innovation & Technology,8/15/2015,SICK,69.85,58,4640,0.015053
Civic Innovation & Technology,8/29/2015,FMLA,7.5,58,4640,0.001616
Civic Innovation & Technology,8/29/2015,SICK,119,58,4640,0.025646
Civic Innovation & Technology,9/12/2015,FMLA,5.5,59,4720,0.001165
Civic Innovation & Technology,9/12/2015,FUNERAL,24,59,4720,0.005084
Civic Innovation & Technology,9/12/2015,MILITARY,8,59,4720,0.001694
Civic Innovation & Technology,9/12/2015,SICK,95.7,59,4720,0.020275
Civic Innovation & Technology,9/12/2015,UNPAID ABSENCE,14,59,4720,0.002966
Civic Innovation & Technology,9/26/2015,SICK,75.2,59,4720,0.015932
Civic Innovation & Technology,9/26/2015,UNPAID ABSENCE,8,59,4720,0.001694
Civic Innovation & Technology,10/10/2015,SICK,143.9,59,4720,0.030487
Civic Innovation & Technology,10/10/2015,UNPAID ABSENCE,10.87,59,4720,0.002302
Civic Innovation & Technology,10/24/2015,SICK,128.1,58,4640,0.027607
Civic Innovation & Technology,11/7/2015,FMLA,7,58,4640,0.001508
Civic Innovation & Technology,11/7/2015,SICK,129.2,58,4640,0.027844
Civic Innovation & Technology,11/7/2015,SUSPENSION,8,58,4640,0.001724
Civic Innovation & Technology,11/21/2015,FMLA,4,59,4720,0.000847
Civic Innovation & Technology,11/21/2015,FUNERAL,20,59,4720,0.004237
Civic Innovation & Technology,11/21/2015,SICK,48.7,59,4720,0.010317
Civic Innovation & Technology,12/5/2015,FUNERAL,48,61,4880,0.009836
Civic Innovation & Technology,12/5/2015,SICK,110.9,61,4880,0.022725
Civic Innovation & Technology,12/19/2015,SICK,108.85,61,4880,0.022305
Civic Innovation & Technology,1/2/2016,FUNERAL,24,61,4880,0.004918
Civic Innovation & Technology,1/2/2016,SICK,27.2,61,4880,0.005573
Civic Innovation & Technology,1/2/2016,UNPAID ABSENCE,24,61,4880,0.004918
Civic Innovation & Technology,1/16/2016,MILITARY,8,62,4960,0.001612
Civic Innovation & Technology,1/16/2016,SICK,98.95,62,4960,0.019949
Civic Innovation & Technology,1/30/2016,SICK,37.5,61,4880,0.007684
Civic Innovation & Technology,2/13/2016,FUNERAL,24,60,4800,0.005
