Dept,BIWEEKLY_PAY_PERIOD_END_DATE,LTI,DART,DESCRIPTION,Number_OF_Incidents,HOURS_YOY,LTI_YOY,DART_YOY,OSHA_YOY,LTI_Rate,DART_Rate,OSHA_Rate
All Metro Gov,7/13/2019,NO,YES,Sprain or Strain,4,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,7/13/2019,YES,YES,Sprain or Strain,3,845478.6,228,394,519,53.93394936,93.20164934,122.7707005
All Metro Gov,6/29/2019,NO,NO,Bloodborne Disease,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,NO,Bloodborne Pathogen Exposure,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,YES,YES,"Concussion-Brain, cerebral",1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,YES,YES,Contusion/Bruise,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,NO,Contusion/Bruise,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,NO,Sprain  (ligament),1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,YES,Sprain  (ligament),2,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,YES,YES,Sprain  (ligament),4,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,YES,Sprain or Strain,2,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,YES,YES,Sprain or Strain,4,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,NO,Sprain or Strain,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/29/2019,NO,NO,Sudden Illness,1,849504.6,232,399,521,54.62006916,93.93710169,122.6597243
All Metro Gov,6/15/2019,NO,YES,Animal Bite,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,NO,Animal Bite,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,NO,Bite,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Bite,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,NO,"Contact dermatitis (Rash, Poison Ivy)",1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Contusion/Bruise,2,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Inflammation,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Inhilation of an unknown substance,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Other,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,NO,Respiratory Disorders,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,NO,Respiratory Irritation,1,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,YES,YES,Sprain  (ligament),2,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Sprain  (ligament),8,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,YES,YES,Sprain or Strain,2,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/15/2019,NO,YES,Sprain or Strain,8,853501.48,235,409,531,55.06727417,95.84048993,124.4286067
All Metro Gov,6/1/2019,NO,NO,Animal Bite,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,Bite,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,YES,YES,Contusion/Bruise,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,Contusion/Bruise,2,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,YES,Contusion/Bruise,4,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,Cut or Laceration,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,"Cut, laceration or scratches",1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,YES,Fracture,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,YES,YES,Fracture,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,YES,YES,Puncture,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,YES,YES,Sprain  (ligament),3,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,YES,Sprain  (ligament),3,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,Sprain  (ligament),1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,YES,Sprain or Strain,3,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,NO,NO,Sprain or Strain,1,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,6/1/2019,YES,YES,Sprain or Strain,3,858345.33,242,417,546,56.3875614,97.16369052,127.2215228
All Metro Gov,5/18/2019,YES,YES,NULL,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Animal Bite,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Bite,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Bloodborne Disease,2,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Bloodborne Pathogen Exposure,2,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Burn from heat,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Chest Pain,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Contusion/Bruise,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,YES,Cut or Laceration,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Cut or Laceration,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,"Cut, laceration or scratches",1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,YES,"Cut, laceration or scratches",1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Other,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Sprain  (ligament),2,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,YES,Sprain  (ligament),3,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Sprain  (ligament),1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Sprain or Strain,2,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,YES,Sprain or Strain,3,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,NO,NO,Sprain or Strain,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/18/2019,YES,YES,Sudden Illness,1,862828.93,240,412,546,55.63095804,95.4998113,126.5604295
All Metro Gov,5/4/2019,NO,NO,NULL,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Bloodborne Disease,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Bloodborne Pathogen Exposure,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,YES,Contusion/Bruise,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Dislocation,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,YES,Dislocation,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Fracture,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Inflammation,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Inhilation of an unknown substance,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Other,2,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Other,2,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Puncture,1,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,YES,Sprain  (ligament),5,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Sprain  (ligament),4,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Sprain  (ligament),8,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,NO,Sprain or Strain,4,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,NO,YES,Sprain or Strain,5,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,5/4/2019,YES,YES,Sprain or Strain,8,867408.53,241,417,552,55.56781878,96.14846651,127.2756679
All Metro Gov,4/20/2019,NO,NO,Animal Bite,2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Bite,2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Bloodborne Disease,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Bloodborne Pathogen Exposure,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Burn,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Burn from chemical,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,Contusion/Bruise,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Contusion/Bruise,4,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Cut or Laceration,2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,Cut or Laceration,2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,"Cut, laceration or scratches",2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,"Cut, laceration or scratches",2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Heat Illness,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Inflammation,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Inhilation of an unknown substance,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Sprain  (ligament),2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,Sprain  (ligament),5,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Sprain  (ligament),1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,Sprain or Strain,5,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Sprain or Strain,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,YES,YES,Sprain or Strain,2,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,YES,Sudden Illness,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/20/2019,NO,NO,Sudden Illness,1,872045.76,238,410,545,54.58429154,94.03176274,124.9934407
All Metro Gov,4/6/2019,NO,YES,Animal Bite,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Bite,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,"Concussion-Brain, cerebral",1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Contusion/Bruise,2,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,NO,Contusion/Bruise,3,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,NO,Cut or Laceration,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Cut or Laceration,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,NO,"Cut, laceration or scratches",1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,"Cut, laceration or scratches",1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Dislocation,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Dislocation,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Fracture,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Multiple injuries,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Multiple natures,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Sprain  (ligament),1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,NO,Sprain  (ligament),2,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Sprain  (ligament),5,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,YES,Sprain or Strain,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Sprain or Strain,5,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,NO,NO,Sprain or Strain,2,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,4/6/2019,YES,YES,Sudden Illness,1,876671.36,242,409,535,55.20882991,93.30748526,122.0525785
All Metro Gov,3/23/2019,NO,NO,NULL,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,Bloodborne Disease,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,Bloodborne Pathogen Exposure,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,"Concussion-Brain, cerebral",1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,Contusion/Bruise,2,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,YES,Contusion/Bruise,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,Cut or Laceration,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,Cut or Laceration,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,"Cut, laceration or scratches",1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,"Cut, laceration or scratches",1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,Puncture,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,NO,Puncture,1,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,Sprain  (ligament),3,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,YES,Sprain  (ligament),4,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,NO,YES,Sprain or Strain,4,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/23/2019,YES,YES,Sprain or Strain,3,882006.71,240,411,541,54.42135469,93.1965699,122.6748037
All Metro Gov,3/9/2019,YES,YES,Animal Bite,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Animal Bite,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Animal Bite,2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,YES,YES,Bite,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Bite,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Bite,2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,YES,YES,Contusion/Bruise,2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Contusion/Bruise,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Inflammation,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Inhilation of an unknown substance,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Other,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Puncture,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Sprain  (ligament),1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Sprain  (ligament),2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,YES,YES,Sprain  (ligament),2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,NO,Sprain or Strain,1,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,YES,YES,Sprain or Strain,2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,3/9/2019,NO,YES,Sprain or Strain,2,886676.11,241,410,543,54.3603233,92.48021806,122.4798986
All Metro Gov,2/23/2019,NO,NO,Bloodborne Disease,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,Bloodborne Pathogen Exposure,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Burn,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Burn from chemical,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Burn from heat,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Chest Pain,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,"Concussion-Brain, cerebral",1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,Contusion/Bruise,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Contusion/Bruise,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Contusion/Bruise,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,Cut or Laceration,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,"Cut, laceration or scratches",1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Inflammation,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Inflammation,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Inhilation of an unknown substance,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Inhilation of an unknown substance,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Other,1,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Other,2,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Sprain  (ligament),2,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,Sprain  (ligament),3,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Sprain  (ligament),3,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,YES,Sprain or Strain,3,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,YES,YES,Sprain or Strain,2,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/23/2019,NO,NO,Sprain or Strain,3,891646.31,249,415,551,55.85174238,93.0862373,123.5916066
All Metro Gov,2/9/2019,NO,YES,Animal Bite,2,896681.56,249,417,552,55.53811099,93.00960756,123.1206316
All Metro Gov,2/9/2019,NO,YES,Bite,2,896681.56,249,417,552,55.53811099,93.00960756,123.1206316
All Metro Gov,2/9/2019,YES,YES,Contusion/Bruise,2,896681.56,249,417,552,55.53811099,93.00960756,123.1206316
All Metro Gov,2/9/2019,NO,YES,Cut or Laceration,1,896681.56,249,417,552,55.53811099,93.00960756,123.1206316
All Metro Gov,2/9/2019,YES,YES,Cut or Laceration,1,896681.56,249,417,552,55.53811099,93.00960756,123.1206316
